iStimSide,iTargSide,iSideFirst,iStim,iGen,sylTarg,sylDist,sylCent,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,expStartText.started,expStartText.stopped,expStartKey.keys,expStartKey.rt,expStartKey.started,expStartKey.stopped,blockStartText.started,blockStartText.stopped,blockStartKey.keys,blockStartKey.rt,blockStartKey.started,blockStartKey.stopped,visCueText.started,visCueText.stopped,fixDot.started,fixDot.stopped,fixDotBlue.started,fixDotBlue.stopped,soundStim.started,soundStim.stopped,trialKey.keys,trialKey.rt,trialKey.started,trialKey.stopped,blockEndText.started,blockEndText.stopped,blockEndKey.keys,blockEndKey.rt,blockEndKey.started,blockEndKey.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,0,0,0,1,331,212,1222,0,0,0,0,0,13,13,13,,,,,,,,,,,,,223.91636550000112,224.91747810000015,224.91747810000015,229.72156540000105,229.70490900000004,None,225.91840086000101,None,"['num_2', 'num_3', 'num_1']","[0.7512460999987525, 1.311508099999628, 1.919272600000113]",229.70490900000004,None,,,,,,,2,001,2022_May_11_1905,expDesign_,2021.2.3,59.877012615839384,
0,0,1,0,1,132,313,3123,0,0,0,0,0,14,14,14,,,,,,,,,,,,,238.69555430000037,239.69640770000115,239.69640770000115,244.50004160000026,244.50004160000026,None,240.6974465600002,243.51601389999996,"['num_1', 'num_3', 'num_2']","[0.37983429999985674, 2.0441405000001396, 2.803936000000249]",244.50004160000026,None,,,,,,,2,001,2022_May_11_1905,expDesign_,2021.2.3,59.877012615839384,
1,0,0,0,0,131,323,3131,0,0,0,0,0,15,15,15,,,,,,,,,,,,,253.50736340000003,254.50797620000048,254.50797620000048,259.3121241000008,259.2953594999999,None,255.50929315999983,None,"['num_1', 'num_3', 'num_1']","[0.6725150999991456, 1.3604117999984737, 2.3605111999986548]",259.2953594999999,None,,,,,,,2,001,2022_May_11_1905,expDesign_,2021.2.3,59.877012615839384,
0,0,1,0,0,212,131,3313,0,0,0,0,0,16,16,16,,,,,,,,,,,,,268.3022989000001,269.3034492000006,269.3034492000006,274.10690890000114,274.10690890000114,None,270.30449696000017,None,"['num_2', 'num_1', 'num_2']","[0.8610097000000678, 1.6928839000011067, 2.4452489000013884]",274.10690890000114,None,,,,,,,2,001,2022_May_11_1905,expDesign_,2021.2.3,59.877012615839384,
1,0,0,1,0,133,212,3111,0,0,0,0,0,17,17,17,,,,,,,,,,,,,283.1144808000008,284.1154705000008,284.1154705000008,288.9189344999995,288.9022180000011,None,285.1159086600006,None,"['num_1', 'num_2', 'num_2']","[1.0496587999987241, 1.7295122999985324, 2.4660617999998067]",288.9022180000011,None,,,,,,,2,001,2022_May_11_1905,expDesign_,2021.2.3,59.877012615839384,
0,0,1,1,1,212,123,1132,0,0,0,0,0,18,18,18,,,,,,,,,,,,,297.90981439999996,298.9102987999995,298.9102987999995,303.7144602999997,303.7144602999997,None,299.9112845599999,None,"['num_2', 'num_1', 'num_2']","[0.9094021000000794, 1.6456462999994983, 2.3815458999997645]",303.7144602999997,None,,,,,,,2,001,2022_May_11_1905,expDesign_,2021.2.3,59.877012615839384,
0,0,0,0,1,232,321,1222,0,0,0,0,0,19,19,19,,,,,,,,,,,,,312.7048082000001,313.7058900000011,313.7058900000011,318.50953219999974,318.50953219999974,None,314.7064102600003,317.52583369999957,"['num_2', 'num_3', 'num_2']","[0.7144544000002497, 1.466267499999958, 2.2021512999999686]",318.50953219999974,None,,,,,,,2,001,2022_May_11_1905,expDesign_,2021.2.3,59.877012615839384,
0,0,0,1,1,312,231,1332,0,0,0,0,0,20,20,20,,,,,,,,,,,,,327.5001138000007,328.5004485999998,328.5004485999998,333.3043154999996,333.3043154999996,None,329.50152346000016,None,"['num_3', 'num_2', 'num_1']","[0.8074574999991455, 1.3834806999984721, 2.015524499998719]",333.3043154999996,None,,,,,,,2,001,2022_May_11_1905,expDesign_,2021.2.3,59.877012615839384,
1,1,0,0,1,312,121,3221,0,0,0,0,0,21,21,21,,,,,,,,,,,,,342.32878960000016,343.32930339999984,343.3127457999999,348.1164327000006,348.1164327000006,None,344.31342336,347.1328967999998,"['num_3', 'num_1', 'num_2']","[0.459429700000328, 1.3713913999999932, 2.067436799999996]",348.1164327000006,None,,,,,,,2,001,2022_May_11_1905,expDesign_,2021.2.3,59.877012615839384,
1,0,1,0,0,131,312,1232,0,0,0,0,0,22,22,22,,,,,,,,,,,,,357.1235532999999,358.1244071000001,358.1078467999996,362.91189250000025,362.8949212999996,None,359.10873935999973,361.92846180000015,"['num_1', 'num_3', 'num_1']","[0.8810972999999649, 1.6248412000004464, 2.36940930000128]",362.8949212999996,None,,,,,,,2,001,2022_May_11_1905,expDesign_,2021.2.3,59.877012615839384,
