iStimSide,iTargSide,iSideFirst,iStim,iGen,sylTarg,sylDist,sylCent,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,expStartText.started,expStartText.stopped,expStartKey.keys,expStartKey.rt,expStartKey.started,expStartKey.stopped,blockStartText.started,blockStartText.stopped,blockStartKey.keys,blockStartKey.rt,blockStartKey.started,blockStartKey.stopped,visCueText.started,visCueText.stopped,fixDot.started,fixDot.stopped,fixDotBlue.started,fixDotBlue.stopped,soundStim.started,soundStim.stopped,trialKey.keys,trialKey.rt,trialKey.started,trialKey.stopped,blockEndText.started,blockEndText.stopped,blockEndKey.keys,blockEndKey.rt,blockEndKey.started,blockEndKey.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,1,1,0,1,321,232,1122,2,0,2,0,0,13,13,13,,,,,,,,,,,,,228.18087550000018,229.1820617000012,229.1820617000012,233.9863709000001,233.9863709000001,None,230.1827146600004,233.0016269000007,"['num_1', 'num_2', 'num_1']","[1.1444490000012593, 1.8963511000001745, 2.648653500000364]",233.9863709000001,None,,,,,,,2,001,2022_May_11_1925,expDesign_,2021.2.3,59.81676927205051,
1,0,1,0,1,231,312,1312,2,0,2,0,0,14,14,14,,,,,,,,,,,,,242.97620710000047,243.9771933000011,243.9771933000011,248.78088779999962,248.78088779999962,None,244.97801586000023,247.79765430000043,"['num_2', 'num_3', 'num_1']","[0.6543025999999372, 1.8139759000005142, 2.5501507999997557]",248.78088779999962,None,,,,,,,2,001,2022_May_11_1925,expDesign_,2021.2.3,59.81676927205051,
1,1,0,1,1,312,233,2122,2,0,2,0,0,15,15,15,,,,,,,,,,,,,257.7888961999997,258.78908840000076,258.7725011000002,263.5760105999998,263.5760105999998,None,259.7733354600001,None,"['num_2', 'num_1', 'num_2']","[1.5151019999993878, 2.0988466999988304, 2.730939999999464]",263.5760105999998,None,,,,,,,2,001,2022_May_11_1925,expDesign_,2021.2.3,59.81676927205051,
1,0,1,0,0,233,121,3231,2,0,2,0,0,16,16,16,,,,,,,,,,,,,272.5839408000011,273.5842571000012,273.56767820000096,278.37134499999956,278.37134499999956,None,274.5688722600004,None,"['num_2', 'num_3', 'num_2']","[0.8074873999994452, 1.4555276999999478, 2.0394852999997966]",278.37134499999956,None,,,,,,,2,001,2022_May_11_1925,expDesign_,2021.2.3,59.81676927205051,
0,1,0,0,1,323,232,3211,2,0,2,0,0,17,17,17,,,,,,,,,,,,,287.3959625000007,288.3965844000013,288.3792376000001,293.18365410000115,293.18365410000115,None,289.38085036000086,None,"['num_3', 'num_2', 'num_3']","[0.5472213000011834, 1.1151558000001387, 1.6830293000002712]",293.18365410000115,None,,,,,,,2,001,2022_May_11_1925,expDesign_,2021.2.3,59.81676927205051,
0,0,1,1,0,232,313,2132,2,0,2,0,0,18,18,18,,,,,,,,,,,,,302.1911789000005,303.19149800000014,303.1748361000009,307.9786604000001,307.96195389999957,None,304.1752979600002,306.9946455999998,"['num_2', 'num_3', 'num_2']","[1.1929044999997132, 1.8969725999995717, 2.5692595000000438]",307.96195389999957,None,,,,,,,2,001,2022_May_11_1925,expDesign_,2021.2.3,59.81676927205051,
0,1,0,0,0,312,123,1311,2,0,2,0,0,19,19,19,,,,,,,,,,,,,316.9859436000006,317.9866194999995,317.96983250000085,322.77398390000053,322.77398390000053,None,318.9705754599996,None,"['num_3', 'num_1', 'num_2']","[0.980757100000119, 1.7568694000001415, 2.3888105000005453]",322.77398390000053,None,,,,,,,2,001,2022_May_11_1925,expDesign_,2021.2.3,59.81676927205051,
0,1,0,1,1,212,123,1133,2,0,2,0,0,20,20,20,,,,,,,,,,,,,331.7811091000003,332.78175680000095,332.78175680000095,337.585729800001,337.585729800001,None,333.78260465999995,336.60157120000076,"['num_2', 'num_1', 'num_2']","[0.8653395000001183, 1.737342800000988, 2.6011695000015607]",337.585729800001,None,,,,,,,2,001,2022_May_11_1925,expDesign_,2021.2.3,59.81676927205051,
0,1,0,1,0,123,231,2123,2,0,2,0,0,21,21,21,,,,,,,,,,,,,346.57595690000016,347.5771034999998,347.5771034999998,352.3810348999996,352.3810348999996,None,348.57763326000133,None,"['num_1', 'num_2', 'num_3']","[1.2379214000011416, 1.8777165999999852, 2.573648499999763]",352.3810348999996,None,,,,,,,2,001,2022_May_11_1925,expDesign_,2021.2.3,59.81676927205051,
0,0,0,1,0,313,232,2311,2,0,2,0,0,22,22,22,,,,,,,,,,,,,361.38797820000036,362.3889126000013,362.3724603999999,367.1765286000009,367.1765286000009,None,363.37282345999995,None,"['num_1', 'num_2', 'num_3']","[1.6262157000001025, 2.018582400000014, 2.753945799999201]",367.1765286000009,None,,,,,,,2,001,2022_May_11_1925,expDesign_,2021.2.3,59.81676927205051,
0,0,1,1,1,232,323,2122,2,0,2,0,0,23,23,23,,,,,,,,,,,,,376.16671940000015,377.1674772999995,377.1674772999995,381.9710283000004,381.9546568000005,None,378.16846466000027,None,"['num_2', 'num_3', 'num_2']","[0.7038609000010183, 1.2559888000014325, 1.8481136000009428]",381.9546568000005,None,,,,,,,2,001,2022_May_11_1925,expDesign_,2021.2.3,59.81676927205051,
0,1,1,1,0,123,312,3332,2,0,2,0,0,24,24,24,,,,,,,,,,,,,390.9783215000007,391.9790415000007,391.96258599999965,396.7663441000004,396.7663441000004,389.97904970000127,392.96347926000055,395.78242280000086,"['num_3', 'num_2', 'num_3']","[0.4202019999993354, 1.1163601000007475, 1.8925595000000612]",396.7663441000004,389.97904970000127,,,,,,,2,001,2022_May_11_1925,expDesign_,2021.2.3,59.81676927205051,
0,0,0,0,0,232,323,1133,2,0,2,0,0,25,25,25,,,,,,,,,,,,,405.79057400000056,406.790971800001,406.7744335999996,411.57832360000066,411.57832360000066,None,407.77517736000084,410.59431399999994,"['num_2', 'num_3', 'num_2']","[0.936637900000278, 1.592534400000659, 2.3281523999994533]",411.57832360000066,None,,,,,,,2,001,2022_May_11_1925,expDesign_,2021.2.3,59.81676927205051,
