iStimSide,iTargSide,iSideFirst,iStim,iGen,sylTarg,sylDist,sylCent,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,expStartText.started,expStartText.stopped,expStartKey.keys,expStartKey.rt,expStartKey.started,expStartKey.stopped,blockStartText.started,blockStartText.stopped,blockStartKey.keys,blockStartKey.rt,blockStartKey.started,blockStartKey.stopped,visCueText.started,visCueText.stopped,fixDot.started,fixDot.stopped,fixDotBlue.started,fixDotBlue.stopped,soundStim.started,soundStim.stopped,trialKey.keys,trialKey.started,trialKey.stopped,trialKey.rt,blockEndText.started,blockEndText.stopped,blockEndKey.keys,blockEndKey.rt,blockEndKey.started,blockEndKey.stopped,expEndText.started,expEndText.stopped,expEndKey.keys,expEndKey.rt,expEndKey.started,expEndKey.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,1,0,1,0,223,132,2322,0,0,0,0,0,14,14,14,,,,,,,,,,,,,227.1566732999636,228.16958550002892,228.1550901000155,232.9581609000452,232.9581609000452,226.16899659996852,229.15332642004358,231.97014680004213,None,232.9581609000452,226.16899659996852,,,,,,,,,,,,,,1,001,2022_Jan_11_1836,expStairCase,2021.2.3,61.107363202236655,
1,0,1,0,0,131,312,2112,0,0,0,0,0,15,15,15,,,,,,,,,,,,,241.94140979996882,242.94134020002093,242.94134020002093,247.7471170000499,247.7471170000499,240.960008700029,243.94359852005726,246.75992640003096,None,247.7471170000499,240.960008700029,,,,,,,,,,,,,,1,001,2022_Jan_11_1836,expStairCase,2021.2.3,61.107363202236655,
0,0,1,1,0,232,323,2313,0,0,0,0,0,16,16,16,,,,,,,,,,,,,256.7453938999679,257.74512680002954,257.74512680002954,262.5516908999998,262.5516908999998,255.7619925000472,258.7462057200493,None,['up'],262.5516908999998,255.7619925000472,[0.6317005000310019],,,,,,,,,,,,,1,001,2022_Jan_11_1836,expStairCase,2021.2.3,61.107363202236655,
0,0,0,0,1,123,231,2332,0,0,0,0,0,17,17,17,,,,,,,,,,,,,271.53935269999783,272.5394120999845,272.5394120999845,277.3448459999636,277.3448459999636,270.5556776999729,273.54022991999517,None,None,277.3448459999636,270.5556776999729,,,,,,,,,,,,,,1,001,2022_Jan_11_1836,expStairCase,2021.2.3,61.107363202236655,
0,1,0,1,1,213,321,1311,0,0,0,0,0,18,18,18,,,,,,,,,,,,,286.3292248999933,287.3295293999836,287.3295293999836,292.13168919994496,292.13168919994496,285.34671589999925,288.32973051995504,None,"['down', 'down']",292.13168919994496,285.34671589999925,"[0.4495508000254631, 0.6085692000342533]",,,,,,,,,,,,,1,001,2022_Jan_11_1836,expStairCase,2021.2.3,61.107363202236655,
1,1,1,0,0,131,323,1123,0,0,0,0,0,19,19,19,,,,,,,,,,,,,301.11915549996775,302.1196185000008,302.1196185000008,306.92180649994407,306.92180649994407,300.1356340999482,303.1207701199921,None,None,306.92180649994407,300.1356340999482,,,,,,,,,,,,,,1,001,2022_Jan_11_1836,expStairCase,2021.2.3,61.107363202236655,
1,0,1,1,0,332,121,2113,0,0,0,0,0,20,20,20,,,,,,,,,,,,,315.909282800043,316.9121875000419,316.9121875000419,321.7284918000223,321.71186160005163,314.9256087000249,317.9124113199534,None,['down'],321.71186160005163,314.9256087000249,[0.4573669999372214],,,,,,,,,,,,,1,001,2022_Jan_11_1836,expStairCase,2021.2.3,61.107363202236655,
0,1,0,1,1,313,231,3323,0,0,0,0,0,21,21,21,,,,,,,,,,,,,330.7005508999573,331.69998649996705,331.69998649996705,336.50189920002595,336.50189920002595,329.7148964999942,332.6998593199998,None,['down'],336.50189920002595,329.7148964999942,[1.9053541000466794],,,,,,,,,,,,,1,001,2022_Jan_11_1836,expStairCase,2021.2.3,61.107363202236655,
0,0,0,1,1,221,133,3113,0,0,0,0,0,22,22,22,,,,,,,,,,,,,345.489069400006,346.48955409997143,346.48955409997143,351.2918016000185,351.2918016000185,344.5075563000282,347.490069020004,None,None,351.2918016000185,344.5075563000282,,,,,,,,,,,,,,1,001,2022_Jan_11_1836,expStairCase,2021.2.3,61.107363202236655,
1,0,0,0,1,213,321,1221,0,0,0,0,0,23,23,23,,,,,,,,,,,,,360.2793208999792,361.27944339998066,361.27944339998066,366.0819524000399,366.0819524000399,359.2956437000539,362.2801110200118,None,None,366.0819524000399,359.2956437000539,,,,,,,,,,,,,,1,001,2022_Jan_11_1836,expStairCase,2021.2.3,61.107363202236655,
0,1,1,0,0,313,232,1122,0,0,0,0,0,24,24,24,,,,,,,,,,,,,375.069300299976,376.0699684000574,376.0699684000574,380.871838400024,380.871838400024,374.0856050000293,377.0699347199872,None,None,380.871838400024,374.0856050000293,,,,,,,,,,,,,,1,001,2022_Jan_11_1836,expStairCase,2021.2.3,61.107363202236655,
1,1,0,0,1,312,231,2133,0,0,0,0,0,25,25,25,,,,,,,,,,,,,389.8591013000114,390.8610296000261,390.8610296000261,395.6618536999449,395.6618536999449,388.87571599998046,391.8603446200024,None,None,395.6618536999449,388.87571599998046,,,,,,,,,,,,,,1,001,2022_Jan_11_1836,expStairCase,2021.2.3,61.107363202236655,
0,1,0,1,1,212,323,2133,0,0,0,0,0,26,26,26,,,,,,,,,,,,,404.6454179000575,405.64815360005014,405.64815360005014,410.44806029996835,410.44806029996835,403.6619068,406.6512734200107,None,['down'],410.44806029996835,403.6619068,[0.6789937999565154],,,,,,,,,,,,,1,001,2022_Jan_11_1836,expStairCase,2021.2.3,61.107363202236655,
1,1,1,1,1,121,212,2122,0,0,0,0,0,27,27,27,,,,,,,,,,,,,419.4402775999624,420.43958719994407,420.43958719994407,425.2420497999992,425.2420497999992,418.455380499945,421.4425526200095,None,None,425.2420497999992,418.455380499945,,,,,,,,,,,,,,1,001,2022_Jan_11_1836,expStairCase,2021.2.3,61.107363202236655,
0,1,0,0,0,323,232,2121,0,0,0,0,0,28,28,28,,,,,,,,,,,,,434.2292223999975,435.2296956999926,435.2296956999926,440.03207229997497,440.03207229997497,433.2486282000318,436.2329013200244,439.04641950002406,None,440.03207229997497,433.2486282000318,,,,,,,,,,,,,,1,001,2022_Jan_11_1836,expStairCase,2021.2.3,61.107363202236655,
1,1,0,1,0,123,312,1223,0,0,0,0,0,29,29,29,,,,,,,,,,,,,449.01900540001225,450.0197798999725,450.0197798999725,454.82344970002305,454.82344970002305,448.03787040000316,451.0200714200502,None,None,454.82344970002305,448.03787040000316,,,,,,,,,,,,,,1,001,2022_Jan_11_1836,expStairCase,2021.2.3,61.107363202236655,
1,1,1,0,1,132,321,2231,0,0,0,0,0,30,30,30,,,,,,,,,,,,,463.8076693000039,464.81232060003094,464.81232060003094,469.610699599958,469.610699599958,462.8257437000284,465.8109100199537,None,None,469.610699599958,462.8257437000284,,,,,,,,,,,,,,1,001,2022_Jan_11_1836,expStairCase,2021.2.3,61.107363202236655,
0,1,0,0,1,313,231,1133,0,0,0,0,0,31,31,31,,,,,,,,,,,,,478.5990783999441,479.5996903999476,479.5996903999476,484.401815899997,484.401815899997,477.61702150001656,480.6000675199786,None,None,484.401815899997,477.61702150001656,,,,,,,,,,,,,,1,001,2022_Jan_11_1836,expStairCase,2021.2.3,61.107363202236655,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,492.4068316000048,None,space,1.483070700080134,492.4068316000048,None,493.90597720001824,None,space,1.1129369999980554,493.90597720001824,None,1,001,2022_Jan_11_1836,expStairCase,2021.2.3,61.107363202236655,
