iStimSide,iTargSide,iSideFirst,iStim,iGen,sylTarg,sylDist,sylCent,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,expStartText.started,expStartText.stopped,expStartKey.keys,expStartKey.rt,expStartKey.started,expStartKey.stopped,blockStartText.started,blockStartText.stopped,blockStartKey.keys,blockStartKey.rt,blockStartKey.started,blockStartKey.stopped,visCueText.started,visCueText.stopped,fixDot.started,fixDot.stopped,fixDotBlue.started,fixDotBlue.stopped,soundStim.started,soundStim.stopped,trialKey.keys,trialKey.started,trialKey.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,5.806709600000204,None,space,0.19897209999999177,6.758310400000028,None,,,,,,,,,,,,,,,,,,1,001,2022_May_11_1333,expStairCase,2021.2.3,59.897742573847374,
0,1,0,0,0,221,133,1123,0,0,0,0,0,0,0,0,,,,,,,16.94994910000014,None,space,1.407277699999895,16.94994910000014,None,19.38552340000001,20.387498499999992,20.387498499999992,25.189624300000105,25.189624300000105,None,21.39085524000002,None,None,25.189624300000105,None,1,001,2022_May_11_1333,expStairCase,2021.2.3,59.897742573847374,
1,0,1,0,0,313,232,3322,0,0,0,0,0,1,1,1,,,,,,,,,,,,,34.18069220000007,35.181088100000125,35.181088100000125,39.985620100000006,39.985620100000006,None,36.20535044000003,None,None,39.985620100000006,None,1,001,2022_May_11_1333,expStairCase,2021.2.3,59.897742573847374,
1,1,1,1,0,133,211,2313,0,0,0,0,0,2,2,2,,,,,,,,,,,,,48.97849960000008,49.97809860000007,49.97809860000007,54.780887699999994,54.780887699999994,None,50.979444140000126,None,None,54.780887699999994,None,1,001,2022_May_11_1333,expStairCase,2021.2.3,59.897742573847374,
0,1,0,1,0,112,321,2121,0,0,0,0,0,3,3,3,,,,,,,,,,,,,63.78965070000004,64.79085450000002,64.79085450000002,69.59817480000015,69.59817480000015,None,65.78962964000011,None,None,69.59817480000015,None,1,001,2022_May_11_1333,expStairCase,2021.2.3,59.897742573847374,
1,1,0,1,0,132,213,3223,0,0,0,0,0,4,4,4,,,,,,,,,,,,,78.58620580000002,79.58765400000016,79.58765400000016,84.39027280000005,84.39027280000005,None,80.58878954000006,None,None,84.39027280000005,None,1,001,2022_May_11_1333,expStairCase,2021.2.3,59.897742573847374,
1,1,0,1,1,221,312,2221,0,0,0,0,0,5,5,5,,,,,,,,,,,,,93.39849650000019,94.3975905000002,94.3975905000002,99.20257000000015,99.20257000000015,None,95.39901514000003,None,None,99.20257000000015,None,1,001,2022_May_11_1333,expStairCase,2021.2.3,59.897742573847374,
1,0,0,0,1,321,232,1131,0,0,0,0,0,6,6,6,,,,,,,,,,,,,108.19235170000002,109.19431860000009,109.19431860000009,113.99669320000021,113.99669320000021,None,110.19432744000001,113.01096490000009,None,113.99669320000021,None,1,001,2022_May_11_1333,expStairCase,2021.2.3,59.897742573847374,
