iStimSide,iTargSide,iSideFirst,iStim,iGen,sylTarg,sylDist,sylCent,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,expStartText.started,expStartText.stopped,expStartKey.keys,expStartKey.rt,expStartKey.started,expStartKey.stopped,blockStartText.started,blockStartText.stopped,blockStartKey.keys,blockStartKey.rt,blockStartKey.started,blockStartKey.stopped,visCueText.started,visCueText.stopped,fixDot.started,fixDot.stopped,fixDotBlue.started,fixDotBlue.stopped,soundStim.started,soundStim.stopped,trialKey.keys,trialKey.started,trialKey.stopped,blockEndText.started,blockEndText.stopped,blockEndKey.keys,blockEndKey.rt,blockEndKey.started,blockEndKey.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,0,0,1,0,133,212,3111,0,0,0,0,0,17,17,17,,,,,,,,,,,,,272.6494574999997,273.64894110000023,273.64894110000023,278.45351779999874,278.45351779999874,None,274.6497162900003,277.46692710000025,None,278.45351779999874,None,,,,,,,2,001,2022_May_11_1728,expDesign_,2021.2.3,59.821277949516166,
0,0,1,1,1,212,123,1132,0,0,0,0,0,18,18,18,,,,,,,,,,,,,287.4583978999999,288.4605352999988,288.4605352999988,293.26461500000005,293.26461500000005,None,289.4616693899996,None,None,293.26461500000005,None,,,,,,,2,001,2022_May_11_1728,expDesign_,2021.2.3,59.821277949516166,
0,0,0,0,1,232,321,1222,0,0,0,0,0,19,19,19,,,,,,,,,,,,,302.25563619999957,303.25571299999865,303.25571299999865,308.06005879999975,308.0427192999996,None,304.24009878999897,None,None,308.0427192999996,None,,,,,,,2,001,2022_May_11_1728,expDesign_,2021.2.3,59.821277949516166,
0,0,0,1,1,312,231,1332,0,0,0,0,0,20,20,20,,,,,,,,,,,,,317.03469399999994,318.0346737,318.0346737,322.83854509999946,322.83854509999946,316.0464181999996,319.03526379000033,321.85269979999975,None,322.83854509999946,316.0464181999996,,,,,,,2,001,2022_May_11_1728,expDesign_,2021.2.3,59.821277949516166,
1,1,0,0,1,312,121,3221,0,0,0,0,0,21,21,21,,,,,,,,,,,,,331.8438088999992,332.84664089999933,332.84664089999933,337.6500020000003,337.6500020000003,330.8599097999995,333.84766249000023,336.66459609999947,None,337.6500020000003,330.8599097999995,,,,,,,2,001,2022_May_11_1728,expDesign_,2021.2.3,59.821277949516166,
1,0,1,0,0,131,312,1232,0,0,0,0,0,22,22,22,,,,,,,,,,,,,346.67186609999953,347.67396349999945,347.6563212000001,352.46230829999877,352.4452874999988,None,348.6590317899998,351.47627719999946,None,352.4452874999988,None,,,,,,,2,001,2022_May_11_1728,expDesign_,2021.2.3,59.821277949516166,
1,1,0,0,0,132,321,1133,0,0,0,0,0,23,23,23,,,,,,,,,,,,,361.4357977999989,362.45091779999893,362.4341869,367.2410951999991,367.2410951999991,360.46689049999986,363.4385574899996,366.2548705999998,None,367.2410951999991,360.46689049999986,,,,,,,2,001,2022_May_11_1728,expDesign_,2021.2.3,59.821277949516166,
0,1,1,1,1,131,323,3133,0,0,0,0,0,24,24,24,,,,,,,,,,,,,376.24862289999874,377.2495206000003,377.2495206000003,382.0531185,382.0359181999993,375.26348770000004,378.2508744899995,None,None,382.0359181999993,375.26348770000004,,,,,,,2,001,2022_May_11_1728,expDesign_,2021.2.3,59.821277949516166,
0,1,0,1,1,212,131,2112,0,0,0,0,0,25,25,25,,,,,,,,,,,,,391.0441190999991,392.0445925999993,392.0445925999993,396.84805810000034,396.83166469999924,390.05892179999864,393.04465579000026,395.86178850000033,None,396.83166469999924,390.05892179999864,,,,,,,2,001,2022_May_11_1728,expDesign_,2021.2.3,59.821277949516166,
1,0,1,1,1,312,123,3111,0,0,0,0,0,26,26,26,,,,,,,,,,,,,405.83644529999947,406.84048599999915,406.8229682000001,411.6261058,411.6261058,404.8521456999988,407.8240308899993,410.63996719999886,None,411.6261058,404.8521456999988,,,,,,,2,001,2022_May_11_1728,expDesign_,2021.2.3,59.821277949516166,
0,1,1,1,0,323,132,1131,0,0,0,0,0,27,27,27,,,,,,,,,,,,,420.6334522999987,421.6351416999987,421.6351416999987,426.43880910000007,426.43880910000007,419.649035299999,422.63537959000024,425.4520847999993,None,426.43880910000007,419.649035299999,,,,,,,2,001,2022_May_11_1728,expDesign_,2021.2.3,59.821277949516166,
1,0,1,1,0,131,213,2221,0,0,0,0,0,28,28,28,,,,,,,,,,,,,435.45965219999925,436.4627666999986,436.44615879999947,441.2506907999996,441.23426130000007,434.4609526999993,437.44768318999996,440.26415129999987,None,441.23426130000007,434.4609526999993,,,,,,,2,001,2022_May_11_1728,expDesign_,2021.2.3,59.821277949516166,
1,1,1,0,1,232,321,3332,0,0,0,0,0,29,29,29,,,,,,,,,,,,,450.25484460000007,451.2589029999999,451.24235450000015,456.0453185999995,456.0453185999995,449.25604360000034,452.2434773899993,None,None,456.0453185999995,449.25604360000034,,,,,,,2,001,2022_May_11_1728,expDesign_,2021.2.3,59.821277949516166,
0,1,0,1,0,232,321,1133,0,0,0,0,0,30,30,30,,,,,,,,,,,,,465.0523806000001,466.05321079999885,466.05321079999885,470.8581857999998,470.8581857999998,None,467.0546184900002,469.86925789999987,None,470.8581857999998,None,,,,,,,2,001,2022_May_11_1728,expDesign_,2021.2.3,59.821277949516166,
0,1,1,0,1,323,231,3111,0,0,0,0,0,31,31,31,,,,,,,,,,,,,479.86170649999985,480.8660297999995,480.8660297999995,485.6692401,485.6692401,None,481.8660292899993,484.6827076999998,None,485.6692401,None,,,,,,,2,001,2022_May_11_1728,expDesign_,2021.2.3,59.821277949516166,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,493.69142139999894,None,space,1.871073599999363,493.69142139999894,None,,,,,,,
