iStimSide,iTargSide,iSideFirst,iStim,iGen,sylTarg,sylDist,sylCent,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,expStartText.started,expStartText.stopped,expStartKey.keys,expStartKey.rt,expStartKey.started,expStartKey.stopped,blockStartText.started,blockStartText.stopped,blockStartKey.keys,blockStartKey.rt,blockStartKey.started,blockStartKey.stopped,visCueText.started,visCueText.stopped,fixDot.started,fixDot.stopped,fixDotBlue.started,fixDotBlue.stopped,soundStim.started,soundStim.stopped,trialKey.keys,trialKey.rt,trialKey.started,trialKey.stopped,blockEndText.started,blockEndText.stopped,blockEndKey.keys,blockEndKey.rt,blockEndKey.started,blockEndKey.stopped,expEndText.started,expEndText.stopped,expEndKey.keys,expEndKey.rt,expEndKey.started,expEndKey.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,0,1,1,0,133,312,2212,0,0,0,0,0,13,13,13,,,,,,,,,,,,,237.25615099997958,238.25659659999656,238.25659659999656,243.0602385000093,243.0602385000093,236.27360870002303,239.25699046001537,242.07113050000044,None,,243.0602385000093,236.27360870002303,,,,,,,,,,,,,1,001,2022_Jan_09_2021,expDesign,2021.2.3,59.95157111501455,
0,0,0,1,0,212,321,1332,0,0,0,0,0,14,14,14,,,,,,,,,,,,,254.04375349998008,255.04692270001397,255.04692270001397,259.85320870002033,259.85320870002033,253.0592517000041,256.0499849599786,None,None,,259.85320870002033,253.0592517000041,,,,,,,,,,,,,1,001,2022_Jan_09_2021,expDesign,2021.2.3,59.95157111501455,
1,0,0,1,0,321,232,2333,0,0,0,0,0,15,15,15,,,,,,,,,,,,,270.83783279999625,271.83831379999174,271.83831379999174,276.6405012999894,276.6405012999894,269.85701430001063,272.83763856001895,275.6552484999993,None,,276.6405012999894,269.85701430001063,,,,,,,,,,,,,1,001,2022_Jan_09_2021,expDesign,2021.2.3,59.95157111501455,
1,1,1,0,0,131,312,1112,0,0,0,0,0,16,16,16,,,,,,,,,,,,,287.62877569999546,288.62921809998807,288.62921809998807,293.4314522999921,293.4314522999921,286.64607929997146,289.629802560003,292.44611489999807,None,,293.4314522999921,286.64607929997146,,,,,,,,,,,,,1,001,2022_Jan_09_2021,expDesign,2021.2.3,59.95157111501455,
0,0,1,0,0,313,232,1221,0,0,0,0,0,17,17,17,,,,,,,,,,,,,304.41960839997046,305.41866359999403,305.41866359999403,310.2181572000263,310.2181572000263,303.43685280001955,306.4229435599758,None,None,,310.2181572000263,303.43685280001955,,,,,,,,,,,,,1,001,2022_Jan_09_2021,expDesign,2021.2.3,59.95157111501455,
0,1,0,1,1,131,323,2112,0,0,0,0,0,18,18,18,,,,,,,,,,,,,321.21045299997786,322.2109503999818,322.2109503999818,327.0132526999805,327.0132526999805,320.227797199972,323.2130096599925,None,None,,327.0132526999805,320.227797199972,,,,,,,,,,,,,1,001,2022_Jan_09_2021,expDesign,2021.2.3,59.95157111501455,
0,1,0,0,1,213,331,1131,0,0,0,0,0,19,19,19,,,,,,,,,,,,,338.00394000002416,339.01874620001763,339.00573939998867,343.8193556999904,343.8057396999793,337.01911120000295,340.0049150599865,None,None,,343.8057396999793,337.01911120000295,,,,,,,,,,,,,1,001,2022_Jan_09_2021,expDesign,2021.2.3,59.95157111501455,
0,0,1,1,0,333,121,3311,0,0,0,0,0,20,20,20,,,,,,,,,,,,,354.79518720001215,355.8112032000208,355.79289330000756,360.59751310001593,360.59751310001593,353.81227579998085,356.7920079600066,None,None,,360.59751310001593,353.81227579998085,,,,,,,,,,,,,1,001,2022_Jan_09_2021,expDesign,2021.2.3,59.95157111501455,
0,0,1,0,0,132,313,3311,0,0,0,0,0,21,21,21,,,,,,,,,,,,,371.58380650001345,372.58542640000815,372.58542640000815,377.386078600015,377.386078600015,370.600714900007,373.58283995997624,None,None,,377.386078600015,370.600714900007,,,,,,,,,,,,,1,001,2022_Jan_09_2021,expDesign,2021.2.3,59.95157111501455,
0,1,0,1,0,323,131,3133,0,0,0,0,0,22,22,22,,,,,,,,,,,,,388.3742839000188,389.3747515999712,389.3747515999712,394.1769135000068,394.1769135000068,387.39409830002114,390.3737865600036,None,None,,394.1769135000068,387.39409830002114,,,,,,,,,,,,,1,001,2022_Jan_09_2021,expDesign,2021.2.3,59.95157111501455,
1,0,0,1,1,331,223,2123,0,0,0,0,0,23,23,23,,,,,,,,,,,,,405.16513089998625,406.1654729999718,406.1654729999718,410.9679284999729,410.9679284999729,404.18506340001477,407.16611566002246,409.9825658000191,None,,410.9679284999729,404.18506340001477,,,,,,,,,,,,,1,001,2022_Jan_09_2021,expDesign,2021.2.3,59.95157111501455,
1,0,1,0,1,313,121,1312,0,0,0,0,0,24,24,24,,,,,,,,,,,,,421.9560843000072,422.9565916999709,422.9565916999709,427.75873090000823,427.75873090000823,420.9736251999857,423.9570617599878,426.77211740001803,None,,427.75873090000823,420.9736251999857,,,,,,,,,,,,,1,001,2022_Jan_09_2021,expDesign,2021.2.3,59.95157111501455,
1,1,0,1,1,212,123,3123,0,0,0,0,0,25,25,25,,,,,,,,,,,,,438.74556710000616,439.7462493000203,439.7462493000203,444.5621041000122,444.5454115999746,437.76444399997126,440.747969060007,None,None,,444.5454115999746,437.76444399997126,,,,,,,,,,,,,1,001,2022_Jan_09_2021,expDesign,2021.2.3,59.95157111501455,
0,1,0,1,1,232,311,3131,0,0,0,0,0,26,26,26,,,,,,,,,,,,,455.5377125000232,456.5407131999964,456.5407131999964,461.3404224999831,461.3404224999831,454.55785959999776,457.53997265999203,460.35531030001584,None,,461.3404224999831,454.55785959999776,,,,,,,,,,,,,1,001,2022_Jan_09_2021,expDesign,2021.2.3,59.95157111501455,
0,0,0,0,1,213,132,1231,0,0,0,0,0,27,27,27,,,,,,,,,,,,,472.3310143999988,473.3445148000028,473.3293433000217,478.1300591999898,478.1300591999898,471.3495703000226,474.33134606000965,None,None,,478.1300591999898,471.3495703000226,,,,,,,,,,,,,1,001,2022_Jan_09_2021,expDesign,2021.2.3,59.95157111501455,
1,0,1,0,0,232,313,2213,0,0,0,0,0,28,28,28,,,,,,,,,,,,,489.1197872000048,490.12020850001136,490.12020850001136,494.9223408999969,494.9223408999969,488.1395618999959,491.1227913599927,None,None,,494.9223408999969,488.1395618999959,,,,,,,,,,,,,1,001,2022_Jan_09_2021,expDesign,2021.2.3,59.95157111501455,
0,0,1,0,1,232,323,2313,0,0,0,0,0,29,29,29,,,,,,,,,,,,,505.90938720002305,506.9096981000039,506.9096981000039,511.71324489999097,511.71324489999097,504.92796810000436,507.91309506001414,None,None,,511.71324489999097,504.92796810000436,,,,,,,,,,,,,1,001,2022_Jan_09_2021,expDesign,2021.2.3,59.95157111501455,
0,1,0,0,0,222,311,2212,0,0,0,0,0,30,30,30,,,,,,,,,,,,,522.7026505999966,523.7197042999906,523.7017621999839,528.5025816999841,528.5025816999841,521.7183714000275,524.7034953600145,None,None,,528.5025816999841,521.7183714000275,,,,,,,,,,,,,1,001,2022_Jan_09_2021,expDesign,2021.2.3,59.95157111501455,
1,1,1,1,1,121,312,3313,0,0,0,0,0,31,31,31,,,,,,,,,,,,,539.4924835999846,540.5117552999873,540.4930547000258,545.2921809999971,545.2921809999971,538.5096764999907,541.4934753600159,None,None,,545.2921809999971,538.5096764999907,,,,,,,,,,,,,1,001,2022_Jan_09_2021,expDesign,2021.2.3,59.95157111501455,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,555.3022564999992,None,space,96.34676099999342,555.3022564999992,None,651.6750487000099,None,space,1.6489625999820419,651.6750487000099,None,1,001,2022_Jan_09_2021,expDesign,2021.2.3,59.95157111501455,
