iStimSide,iTargSide,iSideFirst,iStim,iGen,sylTarg,sylDist,sylCent,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,expStartText.started,expStartText.stopped,expStartKey.keys,expStartKey.rt,expStartKey.started,expStartKey.stopped,blockStartText.started,blockStartText.stopped,blockStartKey.keys,blockStartKey.rt,blockStartKey.started,blockStartKey.stopped,visCueText.started,visCueText.stopped,fixDot.started,fixDot.stopped,fixDotBlue.started,fixDotBlue.stopped,soundStim.started,soundStim.stopped,trialKey.keys,trialKey.rt,trialKey.started,trialKey.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,5.540665299980901,None,space,0.2029946999391541,6.5075923999538645,None,,,,,,,,,,,,,,,,,,,1,001,2022_Jan_11_1441,expStairCase,2021.2.3,59.96487254753235,
0,0,1,1,1,121,213,1212,0,0,0,0,0,0,0,0,,,,,,,16.728957999963313,None,space,0.7286040999460965,16.728957999963313,None,18.479698800016195,19.480214499984868,19.480214499984868,24.282459200010635,24.282459200010635,None,20.48072076997487,23.298125799978152,['left'],[1.2910855000372976],24.282459200010635,None,1,001,2022_Jan_11_1441,expStairCase,2021.2.3,59.96487254753235,
0,1,0,0,0,132,321,1221,0,0,0,0,0,1,1,1,,,,,,,,,,,,,33.269959899946116,34.270408699987456,34.270408699987456,39.07249609997962,39.07249609997962,None,35.27155866998946,38.08748270000797,['left'],[0.47803070000372827],39.07249609997962,None,1,001,2022_Jan_11_1441,expStairCase,2021.2.3,59.96487254753235,
1,1,1,1,1,131,212,3121,0,0,0,0,0,2,2,2,,,,,,,,,,,,,48.05991950002499,49.06033699994441,49.06033699994441,53.862505199969746,53.862505199969746,47.07816210004967,50.06083586999448,52.87750329996925,['right'],[0.41900769993662834],53.862505199969746,47.07816210004967,1,001,2022_Jan_11_1441,expStairCase,2021.2.3,59.96487254753235,
1,0,0,1,0,121,212,1332,0,0,0,0,0,3,3,3,,,,,,,,,,,,,62.84988400002476,63.85032940004021,63.85032940004021,68.65302470000461,68.65302470000461,61.86874379997607,64.85080247001024,67.66751169995405,['right'],[0.4314810000360012],68.65302470000461,61.86874379997607,1,001,2022_Jan_11_1441,expStairCase,2021.2.3,59.96487254753235,
1,1,0,0,1,213,132,2133,0,0,0,0,0,4,4,4,,,,,,,,,,,,,77.63997050002217,78.64037879998796,78.64037879998796,83.44247809995431,83.44247809995431,76.65801769995596,79.64081457002321,82.4575006000232,['left'],[0.3959910999983549],83.44247809995431,76.65801769995596,1,001,2022_Jan_11_1441,expStairCase,2021.2.3,59.96487254753235,
1,0,0,1,1,123,212,3131,0,0,0,0,0,5,5,5,,,,,,,,,,,,,92.429945699987,93.43071079999208,93.43071079999208,98.23257670004386,98.23257670004386,91.44841860001907,94.43180427002953,97.24776389996987,['left'],[0.38789289991836995],98.23257670004386,91.44841860001907,1,001,2022_Jan_11_1441,expStairCase,2021.2.3,59.96487254753235,
0,1,1,0,1,131,212,1212,0,0,0,0,0,6,6,6,,,,,,,,,,,,,107.22027000004891,108.22037660004571,108.22037660004571,113.02257639996242,113.02257639996242,106.23792230000254,109.22088377004256,112.03836030000821,['right'],[0.3978607999160886],113.02257639996242,106.23792230000254,1,001,2022_Jan_11_1441,expStairCase,2021.2.3,59.96487254753235,
0,0,1,1,0,313,231,1213,0,0,0,0,0,7,7,7,,,,,,,,,,,,,122.00996619998477,123.01042059995234,123.01042059995234,127.81254159996752,127.81254159996752,121.02789879997727,124.01083986997837,126.82753190002404,['left'],[0.4648511999985203],127.81254159996752,121.02789879997727,1,001,2022_Jan_11_1441,expStairCase,2021.2.3,59.96487254753235,
1,1,1,0,0,123,231,3213,0,0,0,0,0,8,8,8,,,,,,,,,,,,,136.79996770003345,137.80067939998116,137.80067939998116,142.60262360004708,142.60262360004708,135.81803740002215,138.80091817002977,141.6175333999563,['right'],[0.39376160001847893],142.60262360004708,135.81803740002215,1,001,2022_Jan_11_1441,expStairCase,2021.2.3,59.96487254753235,
1,1,0,0,0,231,323,2212,0,0,0,0,0,9,9,9,,,,,,,,,,,,,151.5898973000003,152.59106490004342,152.59106490004342,157.39323060004972,157.39323060004972,150.60871890001,153.59085397004384,156.4076438000193,['right'],[0.4890934999566525],157.39323060004972,150.60871890001,1,001,2022_Jan_11_1441,expStairCase,2021.2.3,59.96487254753235,
0,1,0,1,0,313,232,3312,0,0,0,0,0,10,10,10,,,,,,,,,,,,,166.38009180000518,167.38039499998558,167.38039499998558,172.18248099996708,172.18248099996708,165.3979864999419,168.38080147003058,171.1975510000484,['left'],[0.47782799997366965],172.18248099996708,165.3979864999419,1,001,2022_Jan_11_1441,expStairCase,2021.2.3,59.96487254753235,
