iStimSide,iTargSide,iSideFirst,iStim,iGen,sylTarg,sylDist,sylCent,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,expStartText.started,expStartText.stopped,expStartKey.keys,expStartKey.rt,expStartKey.started,expStartKey.stopped,blockStartText.started,blockStartText.stopped,blockStartKey.keys,blockStartKey.rt,blockStartKey.started,blockStartKey.stopped,visCueText.started,visCueText.stopped,fixDot.started,fixDot.stopped,fixDotBlue.started,fixDotBlue.stopped,soundStim.started,soundStim.stopped,trialKey.keys,trialKey.rt,trialKey.started,trialKey.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,7.927099400025327,None,space,3.2602569000446238,8.893903200048953,None,,,,,,,,,,,,,,,,,,,1,001,2022_Jan_09_1927,expDesign,2021.2.3,59.99336473222545,
0,1,1,1,1,323,231,1133,0,0,0,0,0,0,0,0,,,,,,,22.152560300019104,None,space,0.5526330000138842,22.152560300019104,None,23.737710000015795,24.736705200048164,24.736705200048164,29.540978700038977,29.540978700038977,None,25.738697150006193,28.555284300004132,"['num_3', 'num_2', 'num_3']","[0.47517300001345575, 0.6871714000008069, 0.9061666000052355]",29.540978700038977,None,1,001,2022_Jan_09_1927,expDesign,2021.2.3,59.99336473222545,
0,0,1,1,0,123,231,3233,0,0,0,0,0,1,1,1,,,,,,,,,,,,,40.529069900047034,41.52955060004024,41.52955060004024,46.330316000035964,46.330316000035964,None,42.53023275003652,None,None,,46.330316000035964,None,1,001,2022_Jan_09_1927,expDesign,2021.2.3,59.99336473222545,
0,0,0,1,0,233,312,1131,0,0,0,0,0,2,2,2,,,,,,,,,,,,,57.31987130001653,58.32054210000206,58.32054210000206,63.122248800005764,63.122248800005764,56.33971760002896,59.31930735001224,None,"['num_3', 'num_1', 'num_3']","[8.035827999992762, 8.210826999973506, 8.426802999980282]",63.122248800005764,56.33971760002896,1,001,2022_Jan_09_1927,expDesign,2021.2.3,59.99336473222545,
1,1,1,0,0,313,122,3111,0,0,0,0,0,3,3,3,,,,,,,,,,,,,74.11067040002672,75.11107840004843,75.11107840004843,79.91178880003281,79.91178880003281,73.13022430002457,76.1118529500498,None,"['num_3', 'num_2', 'num_3']","[1.9132383999531157, 2.0802441999549046, 2.2642399999895133]",79.91178880003281,73.13022430002457,1,001,2022_Jan_09_1927,expDesign,2021.2.3,59.99336473222545,
1,0,1,0,1,321,112,2113,0,0,0,0,0,4,4,4,,,,,,,,,,,,,90.90198870003223,91.90048280003248,91.90048280003248,96.70339870004682,96.70339870004682,89.91904820001218,92.90118085003341,None,"['num_3', 'num_2', 'num_1', 'num_1', 'num_1', 'num_1', 'num_1']","[0.8606246000272222, 1.055595300043933, 1.271617500053253, 3.452637500013225, 3.5956040000310168, 3.7435987000353634, 3.9066126000252552]",96.70339870004682,89.91904820001218,1,001,2022_Jan_09_1927,expDesign,2021.2.3,59.99336473222545,
0,0,1,1,1,322,231,3212,0,0,0,0,0,5,5,5,,,,,,,,,,,,,107.69289190002019,108.70865159999812,108.69331910001347,113.49535370001104,113.49535370001104,106.70987810002407,109.69375524999923,None,"['num_3', 'num_2', 'num_2']","[0.8616942999651656, 1.1046187999891117, 1.291623700002674]",113.49535370001104,106.70987810002407,1,001,2022_Jan_09_1927,expDesign,2021.2.3,59.99336473222545,
1,1,0,0,0,313,132,1122,0,0,0,0,0,6,6,6,,,,,,,,,,,,,124.48354899999686,125.48418260004837,125.48418260004837,130.28627900005085,130.28627900005085,123.49868430005154,126.48484655002248,129.30094950000057,None,,130.28627900005085,123.49868430005154,1,001,2022_Jan_09_1927,expDesign,2021.2.3,59.99336473222545,
1,0,0,0,0,223,311,3313,0,0,0,0,0,7,7,7,,,,,,,,,,,,,141.27666650002357,142.27560580003774,142.27560580003774,147.0771933000069,147.0771933000069,140.29182630003197,143.27559315004038,146.0918313000002,None,,147.0771933000069,140.29182630003197,1,001,2022_Jan_09_1927,expDesign,2021.2.3,59.99336473222545,
0,0,1,1,1,312,121,3233,0,0,0,0,0,8,8,8,,,,,,,,,,,,,158.06827930000145,159.08600490004756,159.06857120001223,163.86934279999696,163.86934279999696,157.0824517000001,160.0675675500359,162.88251590001164,None,,163.86934279999696,157.0824517000001,1,001,2022_Jan_09_1927,expDesign,2021.2.3,59.99336473222545,
1,1,1,1,0,312,133,3311,0,0,0,0,0,9,9,9,,,,,,,,,,,,,174.856286299997,175.85528280003928,175.85528280003928,180.6605006000027,180.6605006000027,173.8736060000374,176.85737995004166,179.67129510000814,None,,180.6605006000027,173.8736060000374,1,001,2022_Jan_09_1927,expDesign,2021.2.3,59.99336473222545,
1,1,0,1,0,321,213,2232,0,0,0,0,0,10,10,10,,,,,,,,,,,,,191.64938390004681,192.66590350004844,192.64778090000618,197.45002610003576,197.45002610003576,190.66639710002346,193.64833195005195,196.46458770002937,None,,197.45002610003576,190.66639710002346,1,001,2022_Jan_09_1927,expDesign,2021.2.3,59.99336473222545,
1,0,0,1,0,223,131,1212,0,0,0,0,0,11,11,11,,,,,,,,,,,,,208.4366245000274,209.43996190000325,209.43996190000325,214.24081360001583,214.24081360001583,207.45646240003407,210.43936625004864,213.25544030003948,None,,214.24081360001583,207.45646240003407,1,001,2022_Jan_09_1927,expDesign,2021.2.3,59.99336473222545,
1,0,0,0,0,313,221,3322,0,0,0,0,0,12,12,12,,,,,,,,,,,,,225.22866020002402,226.2317782000173,226.2317782000173,231.0313155000331,231.0313155000331,224.24595370003954,227.2310396500223,None,None,,231.0313155000331,224.24595370003954,1,001,2022_Jan_09_1927,expDesign,2021.2.3,59.99336473222545,
0,1,1,1,0,212,121,3212,0,0,0,0,0,13,13,13,,,,,,,,,,,,,242.02035510004498,243.02035690000048,243.02035690000048,247.82397420000052,247.82397420000052,241.03716520004673,244.0210027500114,None,None,,247.82397420000052,241.03716520004673,1,001,2022_Jan_09_1927,expDesign,2021.2.3,59.99336473222545,
0,1,1,0,0,323,131,2111,0,0,0,0,0,14,14,14,,,,,,,,,,,,,258.8105955000501,259.81106700003147,259.81106700003147,264.6146993000293,264.6146993000293,257.8279970000149,260.8105397500156,None,None,,264.6146993000293,257.8279970000149,1,001,2022_Jan_09_1927,expDesign,2021.2.3,59.99336473222545,
0,0,0,1,1,313,132,2312,0,0,0,0,0,15,15,15,,,,,,,,,,,,,275.6015985000413,276.60413100000005,276.60413100000005,281.40438610001,281.40438610001,274.6189191000303,277.6027804500016,None,None,,281.40438610001,274.6189191000303,1,001,2022_Jan_09_1927,expDesign,2021.2.3,59.99336473222545,
0,0,0,0,0,131,313,2312,0,0,0,0,0,16,16,16,,,,,,,,,,,,,292.3946161000058,293.4097399000311,293.3915151000256,298.1953330000397,298.1953330000397,291.4098691000254,294.3925684500544,None,None,,298.1953330000397,291.4098691000254,1,001,2022_Jan_09_1927,expDesign,2021.2.3,59.99336473222545,
0,1,1,1,0,323,212,3321,0,0,0,0,0,17,17,17,,,,,,,,,,,,,309.18367460003356,310.1841008000192,310.1841008000192,314.98744100000476,314.98744100000476,308.2007735000225,311.18461675003056,314.00096030003624,None,,314.98744100000476,308.2007735000225,1,001,2022_Jan_09_1927,expDesign,2021.2.3,59.99336473222545,
0,0,0,0,1,312,131,1211,0,0,0,0,0,18,18,18,,,,,,,,,,,,,325.9746656000498,326.9749988000258,326.9749988000258,331.7770450000535,331.7770450000535,324.99174910003785,327.9756278500252,330.79180870001437,None,,331.7770450000535,324.99174910003785,1,001,2022_Jan_09_1927,expDesign,2021.2.3,59.99336473222545,
1,1,0,1,1,121,232,2112,0,0,0,0,0,19,19,19,,,,,,,,,,,,,342.7653202000074,343.7669034000137,343.7669034000137,348.568092600035,348.568092600035,341.7845503000426,344.76748315004517,347.5826457000221,None,,348.568092600035,341.7845503000426,1,001,2022_Jan_09_1927,expDesign,2021.2.3,59.99336473222545,
0,1,0,1,0,331,122,3211,0,0,0,0,0,20,20,20,,,,,,,,,,,,,359.55762940004934,360.55676550004864,360.55676550004864,365.3610890000127,365.3610890000127,358.5736012000125,361.5574762500299,364.3729133000015,None,,365.3610890000127,358.5736012000125,1,001,2022_Jan_09_1927,expDesign,2021.2.3,59.99336473222545,
1,0,0,1,1,233,121,1213,0,0,0,0,0,21,21,21,,,,,,,,,,,,,376.34696610004175,377.34879630000796,377.34879630000796,382.15256590000354,382.15256590000354,375.3641606000019,378.3481487500074,381.16446630004793,None,,382.15256590000354,375.3641606000019,1,001,2022_Jan_09_1927,expDesign,2021.2.3,59.99336473222545,
1,0,1,0,0,121,212,1121,0,0,0,0,0,22,22,22,,,,,,,,,,,,,393.1381570000085,394.1407114000176,394.1407114000176,398.9407232000376,398.9407232000376,392.1554519000347,395.1431050500076,None,None,,398.9407232000376,392.1554519000347,1,001,2022_Jan_09_1927,expDesign,2021.2.3,59.99336473222545,
0,1,1,0,1,221,312,3331,0,0,0,0,0,23,23,23,,,,,,,,,,,,,409.9291191000375,410.9294927000301,410.9294927000301,415.7316201000358,415.7316201000358,408.94633510004496,411.9306959500362,None,None,,415.7316201000358,408.94633510004496,1,001,2022_Jan_09_1927,expDesign,2021.2.3,59.99336473222545,
0,0,0,0,1,231,312,3223,0,0,0,0,0,24,24,24,,,,,,,,,,,,,426.7198348000529,427.72244370001135,427.72244370001135,432.52278900000965,432.52278900000965,425.73734020005213,428.72106045005495,None,None,,432.52278900000965,425.73734020005213,1,001,2022_Jan_09_1927,expDesign,2021.2.3,59.99336473222545,
0,0,0,0,1,233,312,1232,0,0,0,0,0,25,25,25,,,,,,,,,,,,,443.512180300022,444.53008560003946,444.5113855000236,449.3135395999998,449.3135395999998,442.530633700022,445.51191535002437,None,None,,449.3135395999998,442.530633700022,1,001,2022_Jan_09_1927,expDesign,2021.2.3,59.99336473222545,
1,1,1,0,1,231,322,3322,0,0,0,0,0,26,26,26,,,,,,,,,,,,,460.3015949000255,461.3020356000052,461.3020356000052,466.1044005000149,466.1044005000149,459.3188359000487,462.3027058500273,None,None,,466.1044005000149,459.3188359000487,1,001,2022_Jan_09_1927,expDesign,2021.2.3,59.99336473222545,
1,1,0,0,1,132,311,1212,0,0,0,0,0,27,27,27,,,,,,,,,,,,,477.09399200003827,478.097007400007,478.097007400007,482.9122212000075,482.89514430001145,476.11233130004257,479.09362964999747,None,None,,482.89514430001145,476.11233130004257,1,001,2022_Jan_09_1927,expDesign,2021.2.3,59.99336473222545,
1,1,0,0,1,312,123,3131,0,0,0,0,0,28,28,28,,,,,,,,,,,,,493.8837136000511,494.8840327000362,494.8840327000362,499.68611340003554,499.68611340003554,492.90419400000246,495.88594285001165,498.69894080003724,None,,499.68611340003554,492.90419400000246,1,001,2022_Jan_09_1927,expDesign,2021.2.3,59.99336473222545,
1,1,1,0,1,311,223,1132,0,0,0,0,0,29,29,29,,,,,,,,,,,,,510.6744472000282,511.67604660004145,511.67604660004145,516.477395599999,516.477395599999,509.6925477000186,512.6755455500504,515.4919166000327,None,,516.477395599999,509.6925477000186,1,001,2022_Jan_09_1927,expDesign,2021.2.3,59.99336473222545,
0,0,1,1,1,122,231,3232,0,0,0,0,0,30,30,30,,,,,,,,,,,,,527.4653359000222,528.4642791000078,528.4642791000078,533.2735160000157,533.2735160000157,526.482619300019,529.4686239500122,532.2803549000528,None,,533.2735160000157,526.482619300019,1,001,2022_Jan_09_1927,expDesign,2021.2.3,59.99336473222545,
