iStimSide,iTargSide,iSideFirst,iStim,iGen,sylTarg,sylDist,sylCent,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,expStartText.started,expStartText.stopped,expStartKey.keys,expStartKey.rt,expStartKey.started,expStartKey.stopped,blockStartText.started,blockStartText.stopped,blockStartKey.keys,blockStartKey.rt,blockStartKey.started,blockStartKey.stopped,visCueText.started,visCueText.stopped,fixDot.started,fixDot.stopped,fixDotBlue.started,fixDotBlue.stopped,soundStim.started,soundStim.stopped,trialKey.keys,trialKey.rt,trialKey.started,trialKey.stopped,blockEndText.started,blockEndText.stopped,blockEndKey.keys,blockEndKey.rt,blockEndKey.started,blockEndKey.stopped,expEndText.started,expEndText.stopped,expEndKey.keys,expEndKey.rt,expEndKey.started,expEndKey.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,0,1,1,0,312,221,3121,0,0,0,0,0,13,13,13,,,,,,,,,,,,,218.74720820004586,219.75109530007467,219.75109530007467,224.56653000006918,224.5481692000758,217.76468580006622,220.74753282002638,223.56455020001158,['down'],[0.3952376999659464],224.5481692000758,217.76468580006622,,,,,,,,,,,,,1,001,2022_Jan_11_1752,expStairCase,2021.2.3,60.014715622509684,
0,1,0,1,0,223,132,2322,0,0,0,0,0,14,14,14,,,,,,,,,,,,,233.53685190004762,234.5377795000095,234.5377795000095,239.33823920006398,239.33823920006398,232.55307040002663,235.53641941996756,238.35454259999096,['up'],[0.3751549000153318],239.33823920006398,232.55307040002663,,,,,,,,,,,,,1,001,2022_Jan_11_1752,expStairCase,2021.2.3,60.014715622509684,
1,0,1,0,0,131,312,2112,0,0,0,0,0,15,15,15,,,,,,,,,,,,,248.3265269000549,249.32776969997212,249.32776969997212,254.13293039996643,254.13293039996643,247.3448232000228,250.33124372006858,None,None,,254.13293039996643,247.3448232000228,,,,,,,,,,,,,1,001,2022_Jan_11_1752,expStairCase,2021.2.3,60.014715622509684,
0,0,1,1,0,232,323,2313,0,0,0,0,0,16,16,16,,,,,,,,,,,,,263.1186459000455,264.1168222000124,264.1168222000124,268.92001590004656,268.92001590004656,262.1337585999863,265.1181460200343,267.9346258000005,['up'],[0.441322400001809],268.92001590004656,262.1337585999863,,,,,,,,,,,,,1,001,2022_Jan_11_1752,expStairCase,2021.2.3,60.014715622509684,
0,0,0,0,1,123,231,2332,0,0,0,0,0,17,17,17,,,,,,,,,,,,,277.9071162000764,278.90758280002046,278.90758280002046,283.7119620000012,283.7119620000012,276.9279905000003,279.9075817200821,282.7222394000273,None,,283.7119620000012,276.9279905000003,,,,,,,,,,,,,1,001,2022_Jan_11_1752,expStairCase,2021.2.3,60.014715622509684,
0,1,0,1,1,213,321,1311,0,0,0,0,0,18,18,18,,,,,,,,,,,,,292.6983448000392,293.69825310003944,293.69825310003944,298.499979800079,298.499979800079,291.7149546999717,294.69773271998855,297.5144754999783,['up'],[0.6343463999219239],298.499979800079,291.7149546999717,,,,,,,,,,,,,1,001,2022_Jan_11_1752,expStairCase,2021.2.3,60.014715622509684,
1,1,1,0,0,131,323,1123,0,0,0,0,0,19,19,19,,,,,,,,,,,,,307.48719270003494,308.4876286999788,308.4876286999788,313.28971619997174,313.28971619997174,306.5046692000469,309.4876166200731,312.30216249998193,None,,313.28971619997174,306.5046692000469,,,,,,,,,,,,,1,001,2022_Jan_11_1752,expStairCase,2021.2.3,60.014715622509684,
1,0,1,1,0,332,121,2113,0,0,0,0,0,20,20,20,,,,,,,,,,,,,322.27630919998046,323.27778790006414,323.27778790006414,328.0799307000125,328.0799307000125,321.29485579999164,324.2765584199689,327.0946010000771,['down'],[1.3372854000190273],328.0799307000125,321.29485579999164,,,,,,,,,,,,,1,001,2022_Jan_11_1752,expStairCase,2021.2.3,60.014715622509684,
0,1,0,1,1,313,231,3323,0,0,0,0,0,21,21,21,,,,,,,,,,,,,337.0668930000393,338.0674857000122,338.0674857000122,342.86830009997357,342.86830009997357,336.08380630007014,339.06645782005506,341.8821877000155,None,,342.86830009997357,336.08380630007014,,,,,,,,,,,,,1,001,2022_Jan_11_1752,expStairCase,2021.2.3,60.014715622509684,
0,0,0,1,1,221,133,3113,0,0,0,0,0,22,22,22,,,,,,,,,,,,,351.85565440007485,352.85779839998577,352.85779839998577,357.6595835000044,357.6595835000044,350.873760699993,353.8580984200118,356.6722171000438,['down'],[0.44162559998221695],357.6595835000044,350.873760699993,,,,,,,,,,,,,1,001,2022_Jan_11_1752,expStairCase,2021.2.3,60.014715622509684,
