iStimSide,iTargSide,iSideFirst,iStim,iGen,sylTarg,sylDist,sylCent,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,expStartText.started,expStartText.stopped,expStartKey.keys,expStartKey.rt,expStartKey.started,expStartKey.stopped,blockStartText.started,blockStartText.stopped,blockStartKey.keys,blockStartKey.rt,blockStartKey.started,blockStartKey.stopped,visCueText.started,visCueText.stopped,fixDot.started,fixDot.stopped,fixDotBlue.started,fixDotBlue.stopped,soundStim.started,soundStim.stopped,trialKey.keys,trialKey.started,trialKey.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,4.955292900000131,None,space,0.4865210999996634,5.925715600000331,None,,,,,,,,,,,,,,,,,,1,001,2022_May_11_1713,expStairCase,2021.2.3,60.023793431866494,
1,1,1,1,0,123,231,3113,0,0,0,0,0,0,0,0,,,,,,,16.44872360000045,None,space,0.8754963999999745,16.44872360000045,None,None,None,None,None,None,None,None,None,None,None,None,1,001,2022_May_11_1713,expStairCase,2021.2.3,60.023793431866494,
1,0,1,1,0,113,232,3123,0,0,0,0,0,1,1,1,,,,,,,,,,,,,None,None,None,None,None,None,None,None,None,None,None,1,001,2022_May_11_1713,expStairCase,2021.2.3,60.023793431866494,
1,0,1,1,1,322,131,2333,0,0,0,0,0,2,2,2,,,,,,,,,,,,,20.369048499999735,None,None,None,None,None,None,None,None,None,None,1,001,2022_May_11_1713,expStairCase,2021.2.3,60.023793431866494,
1,1,0,1,0,232,121,1131,0,0,0,0,0,3,3,3,,,,,,,,,,,,,None,None,None,None,None,None,None,None,None,None,None,1,001,2022_May_11_1713,expStairCase,2021.2.3,60.023793431866494,
1,0,0,1,0,231,113,2112,0,0,0,0,0,4,4,4,,,,,,,,,,,,,None,None,None,None,None,None,None,None,None,None,None,1,001,2022_May_11_1713,expStairCase,2021.2.3,60.023793431866494,
1,1,0,0,1,121,312,3313,0,0,0,0,0,5,5,5,,,,,,,,,,,,,23.355549099999735,None,None,None,None,None,None,None,None,None,None,1,001,2022_May_11_1713,expStairCase,2021.2.3,60.023793431866494,
0,1,0,1,1,312,131,3221,0,0,0,0,0,6,6,6,,,,,,,,,,,,,24.35795479999979,None,None,None,None,None,None,None,None,None,None,1,001,2022_May_11_1713,expStairCase,2021.2.3,60.023793431866494,
1,1,1,1,1,321,232,3321,0,0,0,0,0,7,7,7,,,,,,,,,,,,,None,None,None,None,None,None,None,None,None,None,None,1,001,2022_May_11_1713,expStairCase,2021.2.3,60.023793431866494,
1,0,0,0,0,323,212,2321,0,0,0,0,0,8,8,8,,,,,,,,,,,,,None,None,None,None,None,None,None,None,None,None,None,1,001,2022_May_11_1713,expStairCase,2021.2.3,60.023793431866494,
0,0,0,1,1,223,132,2121,0,0,0,0,0,9,9,9,,,,,,,,,,,,,None,None,None,None,None,None,None,None,None,None,None,1,001,2022_May_11_1713,expStairCase,2021.2.3,60.023793431866494,
1,1,0,1,1,213,122,2332,0,0,0,0,0,10,10,10,,,,,,,,,,,,,None,None,None,None,None,None,None,None,None,None,None,1,001,2022_May_11_1713,expStairCase,2021.2.3,60.023793431866494,
1,1,0,1,0,112,323,2313,0,0,0,0,0,11,11,11,,,,,,,,,,,,,None,None,None,None,None,None,None,None,None,None,None,1,001,2022_May_11_1713,expStairCase,2021.2.3,60.023793431866494,
0,0,1,0,1,232,313,2311,0,0,0,0,0,12,12,12,,,,,,,,,,,,,30.36019639999995,None,None,None,None,None,None,None,None,None,None,1,001,2022_May_11_1713,expStairCase,2021.2.3,60.023793431866494,
0,0,1,1,0,332,123,2321,0,0,0,0,0,13,13,13,,,,,,,,,,,,,None,None,None,None,None,None,None,None,None,None,None,1,001,2022_May_11_1713,expStairCase,2021.2.3,60.023793431866494,
