iStimSide,iTargSide,iSideFirst,iStim,iGen,sylTarg,sylDist,sylCent,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,expStartText.started,expStartText.stopped,expStartKey.keys,expStartKey.rt,expStartKey.started,expStartKey.stopped,blockStartText.started,blockStartText.stopped,blockStartKey.keys,blockStartKey.rt,blockStartKey.started,blockStartKey.stopped,visCueText.started,visCueText.stopped,fixDot.started,fixDot.stopped,fixDotBlue.started,fixDotBlue.stopped,soundStim.started,soundStim.stopped,trialKey.keys,trialKey.rt,trialKey.started,trialKey.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,131,313,2312,0,0,0,0,0,16,16,16,,,,,,,,,,,,,289.5030084999744,290.5036202999763,290.5036202999763,295.3042437999975,295.3042437999975,288.52124829997774,291.50217302999806,None,None,,295.3042437999975,288.52124829997774,1,001,2022_Jan_09_1900,expDesign,2021.2.3,60.43044605955198,
0,1,1,1,0,323,212,3321,0,0,0,0,0,17,17,17,,,,,,,,,,,,,306.29397249995964,307.31121109996457,307.2960609999718,312.09564869996393,312.09564869996393,305.3113136999891,308.2930622299958,311.1090654999716,None,,312.09564869996393,305.3113136999891,1,001,2022_Jan_09_1900,expDesign,2021.2.3,60.43044605955198,
0,0,0,0,1,312,131,1211,0,0,0,0,0,18,18,18,,,,,,,,,,,,,323.0846274999785,324.08359870000277,324.08359870000277,328.8859068999882,328.8859068999882,322.1025776999886,325.0852553299686,327.9023911000113,None,,328.8859068999882,322.1025776999886,1,001,2022_Jan_09_1900,expDesign,2021.2.3,60.43044605955198,
1,1,0,1,1,121,232,2112,0,0,0,0,0,19,19,19,,,,,,,,,,,,,339.8761111999629,340.87636210001074,340.87636210001074,345.678181700001,345.678181700001,338.89326390001224,341.87611282995783,344.69347229995765,None,,345.678181700001,338.89326390001224,1,001,2022_Jan_09_1900,expDesign,2021.2.3,60.43044605955198,
0,1,0,1,0,331,122,3211,0,0,0,0,0,20,20,20,,,,,,,,,,,,,356.6677795999567,357.68346550001297,357.66628199996194,362.46892789995763,362.46892789995763,355.68460269999923,358.6669749299821,361.48658179998165,None,,362.46892789995763,355.68460269999923,1,001,2022_Jan_09_1900,expDesign,2021.2.3,60.43044605955198,
1,0,0,1,1,233,121,1213,0,0,0,0,0,21,21,21,,,,,,,,,,,,,373.45732369995676,374.45765940001,374.45765940001,379.2599995000055,379.2599995000055,372.4757427999866,375.45804472995803,None,None,,379.2599995000055,372.4757427999866,1,001,2022_Jan_09_1900,expDesign,2021.2.3,60.43044605955198,
1,0,1,0,0,121,212,1121,0,0,0,0,0,22,22,22,,,,,,,,,,,,,390.26671960001113,391.2833382000099,391.24829769995995,396.04951799998526,396.04951799998526,389.26264440000523,392.31408002996466,395.13119899999583,None,,396.04951799998526,389.26264440000523,1,001,2022_Jan_09_1900,expDesign,2021.2.3,60.43044605955198,
0,1,1,0,1,221,312,3331,0,0,0,0,0,23,23,23,,,,,,,,,,,,,407.059409199981,408.07057549996534,408.0547389999847,412.86035649996484,412.8436224999605,406.07405120000476,409.0393333300075,None,None,,412.8436224999605,406.07405120000476,1,001,2022_Jan_09_1900,expDesign,2021.2.3,60.43044605955198,
0,0,0,0,1,231,312,3223,0,0,0,0,0,24,24,24,,,,,,,,,,,,,423.84369579999475,424.8440911999787,424.8440911999787,429.64975039998535,429.64975039998535,422.8596370999585,425.8439113299886,428.66183810000075,None,,429.64975039998535,422.8596370999585,1,001,2022_Jan_09_1900,expDesign,2021.2.3,60.43044605955198,
0,0,0,0,1,233,312,1232,0,0,0,0,0,25,25,25,,,,,,,,,,,,,440.6375346999848,441.63657679996686,441.63657679996686,446.4405006999732,446.4405006999732,439.6553244999959,442.63827393000827,None,None,,446.4405006999732,439.6553244999959,1,001,2022_Jan_09_1900,expDesign,2021.2.3,60.43044605955198,
1,1,1,0,1,231,322,3322,0,0,0,0,0,26,26,26,,,,,,,,,,,,,457.4287506999681,458.43088219995843,458.43088219995843,463.2313853999949,463.2313853999949,456.4475038999808,459.43252292997784,None,None,,463.2313853999949,456.4475038999808,1,001,2022_Jan_09_1900,expDesign,2021.2.3,60.43044605955198,
1,1,0,0,1,132,311,1212,0,0,0,0,0,27,27,27,,,,,,,,,,,,,474.2197664999985,475.2203085999936,475.2203085999936,480.0262972000055,480.0262972000055,473.2404713999713,476.22039212997186,None,None,,480.0262972000055,473.2404713999713,1,001,2022_Jan_09_1900,expDesign,2021.2.3,60.43044605955198,
1,1,0,0,1,312,123,3131,0,0,0,0,0,28,28,28,,,,,,,,,,,,,491.0106710999971,492.0126595000038,492.0126595000038,496.8132688999758,496.8132688999758,490.0269307999988,493.01146163000374,None,None,,496.8132688999758,490.0269307999988,1,001,2022_Jan_09_1900,expDesign,2021.2.3,60.43044605955198,
1,1,1,0,1,311,223,1132,0,0,0,0,0,29,29,29,,,,,,,,,,,,,507.8015134999878,508.80204649997177,508.80204649997177,513.6042373999953,513.6042373999953,506.81964489998063,509.8037665300129,512.6188916999963,None,,513.6042373999953,506.81964489998063,1,001,2022_Jan_09_1900,expDesign,2021.2.3,60.43044605955198,
0,0,1,1,1,122,231,3232,0,0,0,0,0,30,30,30,,,,,,,,,,,,,524.5925042000017,525.5930329000112,525.5930329000112,530.3967309999862,530.3967309999862,523.6097500000033,526.5915006299678,None,None,,530.3967309999862,523.6097500000033,1,001,2022_Jan_09_1900,expDesign,2021.2.3,60.43044605955198,
