iStimSide,iTargSide,iSideFirst,iStim,iGen,sylTarg,sylDist,sylCent,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,expStartText.started,expStartText.stopped,expStartKey.keys,expStartKey.rt,expStartKey.started,expStartKey.stopped,blockStartText.started,blockStartText.stopped,blockStartKey.keys,blockStartKey.rt,blockStartKey.started,blockStartKey.stopped,visCueText.started,visCueText.stopped,fixDot.started,fixDot.stopped,fixDotBlue.started,fixDotBlue.stopped,soundStim.started,soundStim.stopped,trialKey.keys,trialKey.rt,trialKey.started,trialKey.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,11.721148200000243,None,space,46.797262399999454,12.690776699999333,None,,,,,,,,,,,,,,,,,,,2,001,2022_May_11_1820,expDesign_,2021.2.3,60.325128311489365,
0,1,0,0,0,312,121,1311,0,0,0,0,0,0,0,0,,,,,,,69.51839939999991,None,space,2.873715000001539,69.51839939999991,None,73.45543530000032,74.4570464999997,74.44009790000018,79.24410799999896,79.24410799999896,None,75.44152541999956,None,"['num_1', 'num_2', 'num_1']","[1.4838638000001083, 2.044273299999986, 3.108095500001582]",79.24410799999896,None,2,001,2022_May_11_1820,expDesign_,2021.2.3,60.325128311489365,
1,0,1,0,1,212,133,1132,0,0,0,0,0,1,1,1,,,,,,,,,,,,,88.21950280000055,89.23387259999981,89.21781220000048,94.02184750000015,94.02184750000015,None,90.21985021999917,None,"['num_1', 'num_2', 'num_1']","[2.0583571000006486, 2.6186288999997487, 3.138300000000527]",94.02184750000015,None,2,001,2022_May_11_1820,expDesign_,2021.2.3,60.325128311489365,
0,1,0,0,1,233,322,3212,0,0,0,0,0,2,2,2,,,,,,,,,,,,,103.02906900000016,104.03067539999938,104.03067539999938,108.83483709999928,108.83483709999928,None,105.03176132000063,None,"['num_2', 'num_2', 'num_2']","[0.18159140000170737, 0.7093408000000636, 1.4852928000000247]",108.83483709999928,None,2,001,2022_May_11_1820,expDesign_,2021.2.3,60.325128311489365,
1,1,1,1,1,313,231,3233,0,0,0,0,0,3,3,3,,,,,,,,,,,,,117.84161619999941,118.84272710000005,118.84272710000005,123.64648390000002,123.63006580000001,None,119.84355322000029,None,"['num_2', 'num_3', 'num_2']","[1.9943844999997964, 2.602331199999753, 3.345975099999123]",123.63006580000001,None,2,001,2022_May_11_1820,expDesign_,2021.2.3,60.325128311489365,
0,0,0,0,0,122,211,1213,0,0,0,0,0,4,4,4,,,,,,,,,,,,,132.63703609999902,133.6377121000005,133.6377121000005,138.44277890000012,138.44277890000012,None,134.6386686200005,137.45613199999934,"['num_2', 'num_2', 'num_2']","[0.40525999999954365, 1.4373640999983763, 2.2293760999982624]",138.44277890000012,None,2,001,2022_May_11_1820,expDesign_,2021.2.3,60.325128311489365,
