iStimSide,iTargSide,iSideFirst,iStim,iGen,sylTarg,sylDist,sylCent,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,expStartText.started,expStartText.stopped,expStartKey.keys,expStartKey.rt,expStartKey.started,expStartKey.stopped,blockStartText.started,blockStartText.stopped,blockStartKey.keys,blockStartKey.rt,blockStartKey.started,blockStartKey.stopped,visCueText.started,visCueText.stopped,fixDot.started,fixDot.stopped,fixDotBlue.started,fixDotBlue.stopped,soundStim.started,soundStim.stopped,trialKey.keys,trialKey.started,trialKey.stopped,trialKey.rt,participant,session,date,expName,psychopyVersion,frameRate,
0.0,0.0,1.0,1.0,0.0,212.0,123.0,2332.0,0,0,0,0,0,14,14,14,,,,,,,,,,,,,225.24194999999963,226.24508979999973,226.24508979999973,231.04858820000027,231.04858820000027,None,227.24529933000014,230.0619096999999,None,231.04858820000027,None,,1,001,2022_May_11_1641,expStairCase,2021.2.3,59.90951267198356,
1.0,1.0,0.0,0.0,1.0,312.0,131.0,3331.0,0,0,0,0,0,15,15,15,,,,,,,,,,,,,240.03916449999997,241.03961290000007,241.03961290000007,245.84321569999975,245.84321569999975,None,242.04126313000035,244.85717750000003,None,245.84321569999975,None,,1,001,2022_May_11_1641,expStairCase,2021.2.3,59.90951267198356,
0.0,1.0,0.0,1.0,1.0,112.0,231.0,1333.0,0,0,0,0,0,16,16,16,,,,,,,,,,,,,254.85064309999962,255.8511110999998,255.8511110999998,260.6555588000001,260.6555588000001,None,256.8526799299996,259.66883510000025,None,260.6555588000001,None,,1,001,2022_May_11_1641,expStairCase,2021.2.3,59.90951267198356,
0.0,1.0,0.0,1.0,0.0,323.0,212.0,3233.0,0,0,0,0,0,17,17,17,,,,,,,,,,,,,269.64574639999955,270.6471167999998,270.6471167999998,275.45099949999985,275.45099949999985,None,271.6478522300002,274.46415849999994,None,275.45099949999985,None,,1,001,2022_May_11_1641,expStairCase,2021.2.3,59.90951267198356,
1.0,0.0,0.0,1.0,0.0,312.0,123.0,1121.0,0,0,0,0,0,18,18,18,,,,,,,,,,,,,284.4394691999996,285.44133799999963,285.44133799999963,290.2458120000001,290.2458120000001,None,286.44227983,289.2591956999995,None,290.2458120000001,None,,1,001,2022_May_11_1641,expStairCase,2021.2.3,59.90951267198356,
1.0,1.0,1.0,1.0,1.0,121.0,213.0,1333.0,0,0,0,0,0,19,19,19,,,,,,,,,,,,,299.2507622000003,300.2535508000001,300.2369756999997,305.0409692000003,305.0409692000003,None,301.23844813000034,304.0543778000001,None,305.0409692000003,None,,1,001,2022_May_11_1641,expStairCase,2021.2.3,59.90951267198356,
1.0,1.0,0.0,1.0,0.0,312.0,231.0,3233.0,0,0,0,0,0,20,20,20,,,,,,,,,,,,,314.0316776999998,315.0327927999997,315.0327927999997,319.83610690000023,319.83610690000023,None,316.0331089299996,None,None,319.83610690000023,None,,1,001,2022_May_11_1641,expStairCase,2021.2.3,59.90951267198356,
1.0,1.0,0.0,1.0,1.0,132.0,321.0,3311.0,0,0,0,0,0,21,21,21,,,,,,,,,,,,,328.8436621000001,329.84503829999994,329.84503829999994,334.64869120000003,334.64869120000003,None,330.84502183000023,333.66141830000015,None,334.64869120000003,None,,1,001,2022_May_11_1641,expStairCase,2021.2.3,59.90951267198356,
1.0,1.0,1.0,1.0,0.0,211.0,323.0,1222.0,0,0,0,0,0,22,22,22,,,,,,,,,,,,,343.6385043,344.64038999999957,344.64038999999957,349.44263669999964,349.44263669999964,None,345.64068862999994,None,None,349.44263669999964,None,,1,001,2022_May_11_1641,expStairCase,2021.2.3,59.90951267198356,
0.0,0.0,0.0,1.0,1.0,323.0,231.0,1232.0,0,0,0,0,0,23,23,23,,,,,,,,,,,,,358.4658105999997,359.4676120000004,359.45223480000004,364.25234590000036,364.25234590000036,None,360.4515659300003,363.26860229999966,None,364.25234590000036,None,,1,001,2022_May_11_1641,expStairCase,2021.2.3,59.90951267198356,
1.0,0.0,0.0,0.0,0.0,233.0,312.0,1332.0,0,0,0,0,0,24,24,24,,,,,,,,,,,,,373.2454337999998,374.2464864000003,374.2464864000003,379.0509771999996,379.0509771999996,None,375.2476162299998,None,None,379.0509771999996,None,,1,001,2022_May_11_1641,expStairCase,2021.2.3,59.90951267198356,
0.0,0.0,0.0,1.0,1.0,131.0,213.0,1121.0,0,0,0,0,0,25,25,25,,,,,,,,,,,,,388.04137269999956,389.0424667999996,389.0424667999996,393.8448665999995,393.8448665999995,None,390.04265043000015,None,None,393.8448665999995,None,,1,001,2022_May_11_1641,expStairCase,2021.2.3,59.90951267198356,
1.0,0.0,0.0,0.0,1.0,323.0,231.0,1331.0,0,0,0,0,0,26,26,26,,,,,,,,,,,,,402.8364210999998,403.8374345000002,403.8374345000002,408.64078900000004,408.64078900000004,None,404.83748752999946,407.6552208000003,None,408.64078900000004,None,,1,001,2022_May_11_1641,expStairCase,2021.2.3,59.90951267198356,
1.0,0.0,1.0,1.0,0.0,323.0,212.0,3312.0,0,0,0,0,0,27,27,27,,,,,,,,,,,,,417.6479546999999,418.64856489999966,418.64856489999966,423.45449499999995,423.45449499999995,None,419.65048172999997,422.4666887000003,None,423.45449499999995,None,,1,001,2022_May_11_1641,expStairCase,2021.2.3,59.90951267198356,
0.0,1.0,0.0,0.0,0.0,322.0,231.0,3312.0,0,0,0,0,0,28,28,28,,,,,,,,,,,,,432.4412229999998,433.44362100000035,433.44362100000035,438.2479045,438.2479045,None,434.4445276300001,None,None,438.2479045,None,,1,001,2022_May_11_1641,expStairCase,2021.2.3,59.90951267198356,
1.0,1.0,0.0,1.0,0.0,312.0,121.0,2322.0,0,0,0,0,0,29,29,29,,,,,,,,,,,,,447.2385988999995,448.23919939999996,448.23919939999996,453.0430212000001,453.0430212000001,None,449.2392364300002,452.0567857999995,None,453.0430212000001,None,,1,001,2022_May_11_1641,expStairCase,2021.2.3,59.90951267198356,
0.0,1.0,1.0,1.0,0.0,313.0,121.0,2321.0,0,0,0,0,0,30,30,30,,,,,,,,,,,,,462.0500611999996,463.0502684000003,463.0502684000003,467.8549572000002,467.8549572000002,None,464.05196762999987,466.86843339999996,None,467.8549572000002,None,,1,001,2022_May_11_1641,expStairCase,2021.2.3,59.90951267198356,
