iStimSide,iTargSide,iSideFirst,iStim,iGen,sylTarg,sylDist,sylCent,sylFlank,sylFlankFirst,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,expStartText.started,expStartText.stopped,expStartKey.keys,expStartKey.rt,expStartKey.started,expStartKey.stopped,blockStartText.started,blockStartText.stopped,blockStartKey.keys,blockStartKey.rt,blockStartKey.started,blockStartKey.stopped,visCueText.started,visCueText.stopped,fixDot.started,fixDot.stopped,fixDotBlue.started,fixDotBlue.stopped,soundStim.started,soundStim.stopped,trialKey.keys,trialKey.rt,trialKey.started,trialKey.stopped,blockEndText.started,blockEndText.stopped,blockEndKey.keys,blockEndKey.rt,blockEndKey.started,blockEndKey.stopped,expEndText.started,expEndText.stopped,expEndKey.keys,expEndKey.rt,expEndKey.started,expEndKey.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,1,0,0,1,313,121,3312,212,1,0,0,0,0,0,12,12,12,,,,,,,,,,,,,226.4495806999912,227.4498670999892,227.4498670999892,232.2552298999799,232.2552298999799,None,228.450248466663,231.2690155999735,"['num_2', 'num_3', 'num_1']","[0.9017808999924455, 1.5578927999886218, 2.125942099984968]",232.2552298999799,None,,,,,,,,,,,,,3,001,2022_May_21_1932,expDesign_,2021.2.3,None,
0,0,0,0,1,331,123,2213,221,1,0,0,0,0,0,13,13,13,,,,,,,,,,,,,241.2780867999827,242.27962049999041,242.26148960000137,247.06660849999753,247.04854049999267,None,243.26331786666222,None,"['num_1', 'num_1', 'num_3']","[0.8363817999779712, 1.1246678000024986, 1.9007715999905486]",247.04854049999267,None,,,,,,,,,,,,,3,001,2022_May_21_1932,expDesign_,2021.2.3,None,
1,1,0,0,0,131,223,2232,311,1,0,0,0,0,0,14,14,14,,,,,,,,,,,,,256.07411229997524,257.07444419999956,257.0409654999967,261.84558989998186,261.84558989998186,None,258.04057296665655,None,"['num_3', 'num_3', 'num_1']","[0.6314761000103317, 0.9516224999970291, 1.5113291000016034]",261.84558989998186,None,,,,,,,,,,,,,3,001,2022_May_21_1932,expDesign_,2021.2.3,None,
1,1,0,0,1,212,131,1321,112,0,0,0,0,0,0,15,15,15,,,,,,,,,,,,,270.8508012999955,271.85153159999754,271.85153159999754,276.6558114999789,276.6558114999789,None,272.85391466666283,None,"['num_3', 'num_1', 'num_3']","[0.7731728000217117, 1.6852450000005774, 2.389508799999021]",276.6558114999789,None,,,,,,,,,,,,,3,001,2022_May_21_1932,expDesign_,2021.2.3,None,
0,0,0,1,0,123,212,3133,213,0,0,0,0,0,0,16,16,16,,,,,,,,,,,,,285.6813503000012,286.69682309997734,286.66348849999486,291.4677064999996,291.4677064999996,None,287.66598796664425,None,"['num_2', 'num_2', 'num_1']","[0.9853335999941919, 1.3134009999921545, 1.6976205999962986]",291.4677064999996,None,,,,,,,,,,,,,3,001,2022_May_21_1932,expDesign_,2021.2.3,None,
1,1,0,1,1,312,123,3233,112,1,0,0,0,0,0,17,17,17,,,,,,,,,,,,,300.4763679000025,301.4772163000016,301.458896600001,306.2631471999921,306.2631471999921,None,302.4611821666515,305.2786927999987,"['num_2', 'num_3', 'num_1']","[0.6622284000040963, 1.10183820000384, 1.518408099975204]",306.2631471999921,None,,,,,,,,,,,,,3,001,2022_May_21_1932,expDesign_,2021.2.3,None,
0,0,1,0,0,213,132,3231,123,0,0,0,0,0,0,18,18,18,,,,,,,,,,,,,315.27044729999034,316.2708791999903,316.2564895999967,321.0768281999917,321.04309259998263,None,317.2399793666593,320.0570348999754,"['num_3', 'num_1', 'num_1']","[1.8662971000012476, 2.5857635000138544, 2.993891200021608]",321.04309259998263,None,,,,,,,,,,,,,3,001,2022_May_21_1932,expDesign_,2021.2.3,None,
1,0,0,0,0,323,132,1332,121,1,0,0,0,0,0,19,19,19,,,,,,,,,,,,,330.04982119999477,331.04920129998936,331.04920129998936,335.85446039997623,335.85446039997623,None,332.05011476664026,None,"['num_3', 'num_2', 'num_1']","[0.7748538999876473, 1.566481499990914, 2.014991400006693]",335.85446039997623,None,,,,,,,,,,,,,3,001,2022_May_21_1932,expDesign_,2021.2.3,None,
0,0,1,1,0,232,121,1323,322,0,0,0,0,0,0,20,20,20,,,,,,,,,,,,,344.8615224999958,345.8614859999798,345.8614859999798,350.66675619999296,350.66675619999296,None,346.86216596665713,None,"['num_2', 'num_1', 'num_3']","[1.2101568999933079, 1.9378480000013951, 3.5223216000013053]",350.66675619999296,None,,,,,,,,,,,,,3,001,2022_May_21_1932,expDesign_,2021.2.3,None,
0,0,1,0,1,313,231,3231,233,1,0,0,0,0,0,21,21,21,,,,,,,,,,,,,359.6578519999748,360.65665869999793,360.65665869999793,365.4616302999784,365.4616302999784,None,361.6572418666658,364.4764887999918,"['num_3', 'num_1', 'num_2']","[0.5994502000103239, 1.9112916000012774, 2.223240599996643]",365.4616302999784,None,,,,,,,,,,,,,3,001,2022_May_21_1932,expDesign_,2021.2.3,None,
