iStimSide,iTargSide,iSideFirst,iStim,iGen,sylTarg,sylDist,sylCent,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,expStartText.started,expStartText.stopped,expStartKey.keys,expStartKey.rt,expStartKey.started,expStartKey.stopped,blockStartText.started,blockStartText.stopped,blockStartKey.keys,blockStartKey.rt,blockStartKey.started,blockStartKey.stopped,visCueText.started,visCueText.stopped,fixDot.started,fixDot.stopped,fixDotBlue.started,fixDotBlue.stopped,soundStim.started,soundStim.stopped,trialKey.keys,trialKey.rt,trialKey.started,trialKey.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,5.754779000009876,None,space,1.102089399995748,6.723761600034777,None,,,,,,,,,,,,,,,,,,,1,001,2022_Jan_09_1925,expDesign,2021.2.3,59.980086613231265,
0,1,1,1,1,323,231,1133,0,0,0,0,0,0,0,0,,,,,,,17.82930020004278,None,space,1.3095509000122547,17.82930020004278,None,20.164850000001024,21.16537679999601,21.16537679999601,25.96780610003043,25.96780610003043,None,22.164909260021524,None,"['num_3', 'num_2', 'num_3']","[0.4590432999539189, 0.6490332999965176, 0.8530392999527976]",25.96780610003043,None,1,001,2022_Jan_09_1925,expDesign,2021.2.3,59.980086613231265,
0,0,1,1,0,123,231,3233,0,0,0,0,0,1,1,1,,,,,,,,,,,,,36.95702050003456,37.95548050000798,37.95548050000798,42.75875730003463,42.75875730003463,None,38.9572506600176,41.77395500004059,"['num_1', 'num_2', 'num_3']","[0.7900674000266008, 0.993070800032001, 1.2050500000477768]",42.75875730003463,None,1,001,2022_Jan_09_1925,expDesign,2021.2.3,59.980086613231265,
0,0,0,1,0,233,312,1131,0,0,0,0,0,2,2,2,,,,,,,,,,,,,None,None,None,None,None,None,None,None,None,,None,None,1,001,2022_Jan_09_1925,expDesign,2021.2.3,59.980086613231265,
