iStimSide,iTargSide,iSideFirst,iStim,iGen,sylTarg,sylDist,sylCent,sylFlank,sylFlankFirst,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,expStartText.started,expStartText.stopped,expStartKey.keys,expStartKey.rt,expStartKey.started,expStartKey.stopped,blockStartText.started,blockStartText.stopped,blockStartKey.keys,blockStartKey.rt,blockStartKey.started,blockStartKey.stopped,visCueText.started,visCueText.stopped,fixDot.started,fixDot.stopped,fixDotBlue.started,fixDotBlue.stopped,soundStim.started,soundStim.stopped,trialKey.keys,trialKey.rt,trialKey.started,trialKey.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,16.295833399984986,None,space,11.646770599996671,17.24827889999142,None,,,,,,,,,,,,,,,,,,,1,001,2022_May_21_1847,expDesign_,2021.2.3,59.83405622565978,
0,0,0,1,0,121,232,2333,222,0,0,0,0,0,0,0,0,0,,,,,,,38.93219649998355,None,space,2.0189052000059746,38.93219649998355,None,42.000930699985474,43.00266239998746,42.986321299977135,47.78976970000076,47.77252060000319,None,43.98541706999531,None,"['num_1', 'num_2', 'num_1']","[0.31476110001676716, 1.0747110999946017, 2.3546225000172853]",47.77252060000319,None,1,001,2022_May_21_1847,expDesign_,2021.2.3,59.83405622565978,
0,1,1,1,0,211,323,2123,122,1,0,0,0,0,0,1,1,1,,,,,,,,,,,,,56.79627479999908,57.796977099991636,57.78127239999594,62.58282099998905,62.58282099998905,None,58.78358566997922,61.59980179998092,"['num_1', 'num_2', 'num_3', 'num_1']","[0.9922973999928217, 2.240333900001133, 2.5847012999875005, 4.137103199987905]",62.58282099998905,None,1,001,2022_May_21_1847,expDesign_,2021.2.3,59.83405622565978,
1,1,0,1,1,313,231,3232,232,1,0,0,0,0,0,2,2,2,,,,,,,,,,,,,71.57571179998922,72.5756790000014,72.5756790000014,77.37971939999261,77.36317139997846,None,73.5601452700037,76.37927859998308,"['num_3', 'num_2', 'num_3']","[1.4679694000224117, 2.8597810000064783, 3.95590590001666]",77.36317139997846,None,1,001,2022_May_21_1847,expDesign_,2021.2.3,59.83405622565978,
1,1,0,1,0,123,312,2333,232,1,0,0,0,0,0,3,3,3,,,,,,,,,,,,,86.37053089999245,87.37115359999007,87.37115359999007,92.17577679999522,92.17577679999522,85.38632399999187,88.37255436998093,91.19051849999232,"['num_2', 'num_3']","[1.855080099980114, 2.199914099997841]",92.17577679999522,85.38632399999187,1,001,2022_May_21_1847,expDesign_,2021.2.3,59.83405622565978,
0,0,1,0,1,231,313,1112,232,0,0,0,0,0,0,4,4,4,,,,,,,,,,,,,101.18228749997797,102.18260949998512,102.18260949998512,106.98749949998455,106.98749949998455,None,103.18430146998143,None,"['num_3', 'num_2', 'num_3']","[0.6355620000103954, 1.8836274000059348, 4.635590399993816]",106.98749949998455,None,1,001,2022_May_21_1847,expDesign_,2021.2.3,59.83405622565978,
1,1,1,1,0,321,232,3233,211,1,0,0,0,0,0,5,5,5,,,,,,,,,,,,,115.99273460000404,116.99556680000387,116.97921569997561,121.78166529998998,121.76546219998272,None,117.97953316998318,120.79849419998936,"['num_3', 'num_1', 'num_2']","[4.538095500000054, 5.857864699995844, 7.458135599998059]",121.76546219998272,None,1,001,2022_May_21_1847,expDesign_,2021.2.3,59.83405622565978,
1,0,0,1,0,112,231,3112,333,1,0,0,0,0,0,6,6,6,,,,,,,,,,,,,130.77161860000342,131.77289069999824,131.7559889999975,136.55958790000295,136.55958790000295,129.76980139999068,132.75832556998358,135.57506499998271,"['num_3', 'num_1', 'num_2']","[0.31135019997600466, 0.8714506999822333, 1.2634491999924649]",136.55958790000295,129.76980139999068,1,001,2022_May_21_1847,expDesign_,2021.2.3,59.83405622565978,
0,0,1,0,0,313,231,3121,121,1,0,0,0,0,0,7,7,7,,,,,,,,,,,,,145.55195749999257,146.55236149998382,146.55236149998382,151.3552234999952,151.3552234999952,144.56514179997612,147.55076736998745,None,"['num_3', 'num_2', 'num_3']","[0.6598297000164166, 2.619811500015203, 2.899845500010997]",151.3552234999952,144.56514179997612,1,001,2022_May_21_1847,expDesign_,2021.2.3,59.83405622565978,
