iStimSide,iTargSide,iSideFirst,iStim,iGen,sylTarg,sylDist,sylCent,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,expStartText.started,expStartText.stopped,expStartKey.keys,expStartKey.rt,expStartKey.started,expStartKey.stopped,blockStartText.started,blockStartText.stopped,blockStartKey.keys,blockStartKey.rt,blockStartKey.started,blockStartKey.stopped,visCueText.started,visCueText.stopped,fixDot.started,fixDot.stopped,fixDotBlue.started,fixDotBlue.stopped,soundStim.started,soundStim.stopped,trialKey.keys,trialKey.started,trialKey.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1.0,1.0,1.0,1.0,0.0,211.0,323.0,1222.0,0,0,0,0,0,22,22,22,,,,,,,,,,,,,40.40747199999987,None,None,None,None,None,None,None,None,None,None,1,001,2022_May_11_1707,expStairCase,2021.2.3,59.83419943361799,
0.0,0.0,0.0,1.0,1.0,323.0,231.0,1232.0,0,0,0,0,0,23,23,23,,,,,,,,,,,,,41.42373640000005,None,None,None,None,None,None,None,None,None,None,1,001,2022_May_11_1707,expStairCase,2021.2.3,59.83419943361799,
1.0,0.0,0.0,0.0,0.0,233.0,312.0,1332.0,0,0,0,0,0,24,24,24,,,,,,,,,,,,,None,None,None,None,None,None,None,None,None,None,None,1,001,2022_May_11_1707,expStairCase,2021.2.3,59.83419943361799,
0.0,0.0,0.0,1.0,1.0,131.0,213.0,1121.0,0,0,0,0,0,25,25,25,,,,,,,,,,,,,43.4097139000005,None,None,None,None,None,None,None,None,None,None,1,001,2022_May_11_1707,expStairCase,2021.2.3,59.83419943361799,
1.0,0.0,0.0,0.0,1.0,323.0,231.0,1331.0,0,0,0,0,0,26,26,26,,,,,,,,,,,,,None,None,None,None,None,None,None,None,None,None,None,1,001,2022_May_11_1707,expStairCase,2021.2.3,59.83419943361799,
1.0,0.0,1.0,1.0,0.0,323.0,212.0,3312.0,0,0,0,0,0,27,27,27,,,,,,,,,,,,,45.39545360000011,None,None,None,None,None,None,None,None,None,None,1,001,2022_May_11_1707,expStairCase,2021.2.3,59.83419943361799,
0.0,1.0,0.0,0.0,0.0,322.0,231.0,3312.0,0,0,0,0,0,28,28,28,,,,,,,,,,,,,46.41006509999988,None,None,None,None,None,None,None,None,None,None,1,001,2022_May_11_1707,expStairCase,2021.2.3,59.83419943361799,
1.0,1.0,0.0,1.0,0.0,312.0,121.0,2322.0,0,0,0,0,0,29,29,29,,,,,,,,,,,,,None,None,None,None,None,None,None,None,None,None,None,1,001,2022_May_11_1707,expStairCase,2021.2.3,59.83419943361799,
0.0,1.0,1.0,1.0,0.0,313.0,121.0,2321.0,0,0,0,0,0,30,30,30,,,,,,,,,,,,,48.397261200000685,None,None,None,None,None,None,None,None,None,None,1,001,2022_May_11_1707,expStairCase,2021.2.3,59.83419943361799,
0.0,1.0,0.0,1.0,1.0,123.0,212.0,1123.0,0,0,0,0,0,31,31,31,,,,,,,,,,,,,None,None,None,None,None,None,None,None,None,None,None,1,001,2022_May_11_1707,expStairCase,2021.2.3,59.83419943361799,
None,None,None,None,None,None,None,None,0,0,0,0,0,32,32,32,,,,,,,,,,,,,50.400106699999924,None,None,None,None,None,None,None,None,None,None,1,001,2022_May_11_1707,expStairCase,2021.2.3,59.83419943361799,
